Annotation	n	depth	station
GO:0016021	2995645	2	98
GO:0005524	2824210	2	98
GO:0005737	2333949	2	98
GO:0046872	1633923	2	98
GO:0005886	1114439	2	98
GO:0003677	969089	2	98
GO:0000287	604242	2	98
GO:0016787	531998	2	98
GO:0016491	507769	2	98
GO:0008270	474387	2	98
GO:0051539	339595	2	98
GO:0005525	321511	2	98
GO:0016887	309877	2	98
GO:0022857	301365	2	98
GO:0042626	297783	2	98
GO:0003723	286583	2	98
GO:0003824	280728	2	98
GO:0006412	276864	2	98
GO:0006260	276312	2	98
GO:0030170	274407	2	98
GO:0050660	266865	2	98
GO:0000049	259994	2	98
GO:0055085	242674	2	98
GO:0003924	230807	2	98
GO:0005975	228007	2	98
GO:0016740	225539	2	98
GO:0051287	224119	2	98
GO:0006281	223560	2	98
GO:0006099	222971	2	98
GO:0003735	215403	2	98
GO:0006541	207243	2	98
GO:0051301	203685	2	98
GO:0032259	194418	2	98
GO:0003676	182221	2	98
GO:0020037	181991	2	98
GO:0019843	175337	2	98
GO:0005840	171301	2	98
GO:0009055	169727	2	98
GO:0031676	166109	2	98
GO:0003899	165842	2	98
GO:0009252	163393	2	98
GO:0000166	162594	2	98
GO:0006351	160683	2	98
GO:0008360	158860	2	98
GO:0003887	155660	2	98
GO:0050661	151767	2	98
GO:0004252	151407	2	98
GO:0009432	146418	2	98
GO:0006189	144392	2	98
GO:0006265	136917	2	98
GO:0016301	136648	2	98
GO:0071555	134326	2	98
GO:0016829	131241	2	98
GO:0048038	130176	2	98
GO:0008168	129520	2	98
GO:0051082	128371	2	98
GO:0008137	126433	2	98
GO:0009058	125709	2	98
GO:0006457	124951	2	98
GO:0003678	121643	2	98
GO:0016020	119160	2	98
GO:0006633	118408	2	98
GO:0006355	117443	2	98
GO:0043190	117329	2	98
GO:0009097	116341	2	98
GO:0005506	116277	2	98
GO:0030976	115249	2	98
GO:0005887	113788	2	98
GO:0002161	113368	2	98
GO:0009279	110232	2	98
GO:0004222	109299	2	98
GO:0006310	108587	2	98
GO:0008408	108232	2	98
GO:0016757	108124	2	98
GO:0008483	107952	2	98
GO:0007049	107480	2	98
GO:0003746	107454	2	98
GO:0006289	106275	2	98
GO:0009380	105590	2	98
GO:0051536	100476	2	98
GO:0003918	99984	2	98
GO:0006526	96220	2	98
GO:0010181	94498	2	98
GO:0015979	93902	2	98
GO:0004176	92186	2	98
GO:0044205	91786	2	98
GO:0006261	91055	2	98
GO:0005694	90558	2	98
GO:0042773	90216	2	98
GO:0009381	86358	2	98
GO:0046933	85938	2	98
GO:0009098	84476	2	98
GO:0008233	84200	2	98
GO:0018298	84081	2	98
GO:0006605	83139	2	98
GO:0006396	80149	2	98
GO:0004386	80138	2	98
GO:0003684	79810	2	98
GO:0065002	79180	2	98
GO:0051537	78863	2	98
GO:0009089	78808	2	98
GO:0016620	78735	2	98
GO:0006096	76995	2	98
GO:0009099	75576	2	98
GO:0000105	74919	2	98
GO:0016114	74822	2	98
GO:0006537	71339	2	98
GO:0003700	70251	2	98
GO:0009236	68619	2	98
GO:0016874	68401	2	98
GO:0016853	68181	2	98
GO:0051538	67304	2	98
GO:0004748	66857	2	98
GO:0045261	66756	2	98
GO:0016627	66685	2	98
GO:0009073	66351	2	98
GO:0016168	66309	2	98
GO:0004553	64880	2	98
GO:0006400	63289	2	98
GO:0008652	63029	2	98
GO:0004088	62474	2	98
GO:0004129	62157	2	98
GO:0032549	62069	2	98
GO:0009082	61965	2	98
GO:0005509	61861	2	98
GO:0071949	60705	2	98
GO:0042597	60184	2	98
GO:0008237	59669	2	98
GO:0015995	59663	2	98
GO:0016746	59638	2	98
GO:0016226	58763	2	98
GO:0008658	58651	2	98
GO:0030145	58516	2	98
GO:1990077	57605	2	98
GO:0046983	56780	2	98
GO:0009088	56579	2	98
GO:0016705	55897	2	98
GO:0004519	55367	2	98
GO:0000155	55291	2	98
GO:0009116	54647	2	98
GO:0031419	54457	2	98
GO:0030163	54265	2	98
GO:0006730	54032	2	98
GO:0009423	53991	2	98
GO:0016987	51863	2	98
GO:0019288	51488	2	98
GO:0015031	50937	2	98
GO:0008484	50230	2	98
GO:0006353	49349	2	98
GO:0035999	49337	2	98
GO:0046961	48699	2	98
GO:0043022	48230	2	98
GO:0006782	47813	2	98
GO:0009086	46592	2	98
GO:0009435	46355	2	98
GO:0043952	45920	2	98
GO:0009228	45244	2	98
GO:0003697	45005	2	98
GO:0008955	44975	2	98
GO:0003743	44698	2	98
GO:0003989	44675	2	98
GO:0000160	43878	2	98
GO:0019346	43848	2	98
GO:0017004	43683	2	98
GO:0006207	42970	2	98
GO:0015930	42736	2	98
GO:0003755	42294	2	98
GO:0019877	42214	2	98
GO:0009245	42158	2	98
GO:0008236	41619	2	98
GO:0004497	41298	2	98
GO:0016810	40818	2	98
GO:0017038	40777	2	98
GO:0006629	40723	2	98
GO:0070006	40674	2	98
GO:0004822	40602	2	98
GO:0042026	40508	2	98
GO:0006269	40328	2	98
GO:0004826	40118	2	98
GO:0006432	39972	2	98
GO:0016779	39911	2	98
GO:0006428	39679	2	98
