Annotation	n	depth	station
GO:0016021	546197	3	64
GO:0005524	452799	3	64
GO:0005737	327385	3	64
GO:0046872	300490	3	64
GO:0005886	196928	3	64
GO:0003677	154631	3	64
GO:0016787	117104	3	64
GO:0016491	115183	3	64
GO:0000287	87185	3	64
GO:0008270	77968	3	64
GO:0003824	66002	3	64
GO:0016740	62642	3	64
GO:0051539	61085	3	64
GO:0022857	58786	3	64
GO:0005525	54913	3	64
GO:0032259	50247	3	64
GO:0006412	47165	3	64
GO:0055085	46375	3	64
GO:0030170	46365	3	64
GO:0016887	45745	3	64
GO:0042626	45410	3	64
GO:0003723	43119	3	64
GO:0050660	42294	3	64
GO:0000049	41119	3	64
GO:0005975	39795	3	64
GO:0006260	39410	3	64
GO:0051287	37321	3	64
GO:0003924	37273	3	64
GO:0003735	36432	3	64
GO:0006281	35389	3	64
GO:0008168	35199	3	64
GO:0051536	34133	3	64
GO:0006099	32998	3	64
GO:0005840	32098	3	64
GO:0006541	31454	3	64
GO:0003676	31322	3	64
GO:0016301	30008	3	64
GO:0000166	28319	3	64
GO:0020037	26951	3	64
GO:0009055	26734	3	64
GO:0008483	26696	3	64
GO:0003899	26575	3	64
GO:0051301	25340	3	64
GO:0004252	24160	3	64
GO:0019843	24067	3	64
GO:0006351	23664	3	64
GO:0008137	23323	3	64
GO:0050661	23162	3	64
GO:0009058	23036	3	64
GO:0006189	22520	3	64
GO:0016829	22431	3	64
GO:0003887	22179	3	64
GO:0016020	21581	3	64
GO:0030976	21030	3	64
GO:0009252	20880	3	64
GO:0016874	20210	3	64
GO:0009279	20079	3	64
GO:0043190	20009	3	64
GO:0006265	19647	3	64
GO:0003678	19596	3	64
GO:0006457	19350	3	64
GO:0051537	19071	3	64
GO:0008360	18903	3	64
GO:0003746	18295	3	64
GO:0002161	18242	3	64
GO:0006355	17693	3	64
GO:0005506	17560	3	64
GO:0051082	17325	3	64
GO:0016757	17225	3	64
GO:0006310	17124	3	64
GO:0042773	17065	3	64
GO:0071555	16965	3	64
GO:0048038	16817	3	64
GO:0003700	16688	3	64
GO:0004386	16626	3	64
GO:0004222	16427	3	64
GO:0016853	16404	3	64
GO:0005887	15944	3	64
GO:0009432	15894	3	64
GO:0009097	15535	3	64
GO:0007049	15423	3	64
GO:0008408	14982	3	64
GO:0031419	14877	3	64
GO:0005694	14384	3	64
GO:0003918	14279	3	64
GO:0008233	14249	3	64
GO:0006633	13988	3	64
GO:0000105	13981	3	64
GO:0016810	13729	3	64
GO:0006526	13671	3	64
GO:0044205	12920	3	64
GO:0016627	12894	3	64
GO:0006289	12555	3	64
GO:0009236	12328	3	64
GO:0009098	12323	3	64
GO:0009380	12317	3	64
GO:0046933	12280	3	64
GO:0016705	12225	3	64
GO:0071949	12061	3	64
GO:0008237	11957	3	64
GO:0010181	11856	3	64
GO:0006096	11470	3	64
GO:0016620	11449	3	64
GO:0009073	11439	3	64
GO:0051213	11365	3	64
GO:0008652	11359	3	64
GO:0043565	11302	3	64
GO:0006261	11277	3	64
GO:0009099	11263	3	64
GO:0000155	11226	3	64
GO:0006605	11026	3	64
GO:0009089	10929	3	64
GO:0016226	10929	3	64
GO:0003684	10917	3	64
GO:0004176	10783	3	64
GO:0016746	10763	3	64
GO:0006396	10756	3	64
GO:0004553	10715	3	64
GO:0004519	10474	3	64
GO:0003743	10270	3	64
GO:0006400	10076	3	64
GO:0042597	10064	3	64
GO:1990077	10051	3	64
GO:0065002	10001	3	64
GO:0046983	9739	3	64
GO:0035999	9560	3	64
GO:0032549	9508	3	64
GO:0009088	9172	3	64
GO:0015031	9142	3	64
GO:0006537	9134	3	64
GO:0009086	9112	3	64
GO:0008654	8881	3	64
GO:0004356	8863	3	64
GO:0009423	8862	3	64
GO:0005576	8823	3	64
GO:0009381	8816	3	64
GO:0009116	8802	3	64
GO:0008484	8790	3	64
GO:0004088	8765	3	64
GO:0008033	8681	3	64
GO:0006730	8611	3	64
GO:0004748	8579	3	64
GO:0000160	8490	3	64
GO:0006520	8369	3	64
GO:0008236	8353	3	64
GO:0009082	8312	3	64
GO:0003755	8117	3	64
GO:0016114	8098	3	64
GO:0016616	7896	3	64
GO:0004129	7885	3	64
GO:0016779	7866	3	64
GO:0006542	7830	3	64
GO:0006807	7792	3	64
GO:0050567	7787	3	64
GO:0006782	7697	3	64
GO:0017004	7670	3	64
GO:0005507	7638	3	64
GO:0004177	7559	3	64
GO:0004826	7538	3	64
GO:0006207	7507	3	64
GO:0006094	7492	3	64
GO:0009228	7443	3	64
GO:0004822	7423	3	64
GO:0008658	7292	3	64
GO:0045261	7280	3	64
GO:0070403	7147	3	64
GO:0030246	7121	3	64
GO:0046961	7089	3	64
GO:0006432	7054	3	64
GO:0006428	7033	3	64
GO:0009435	6883	3	64
GO:0043022	6781	3	64
GO:0004813	6747	3	64
GO:0000272	6714	3	64
GO:0006353	6713	3	64
GO:0004642	6707	3	64
GO:0005509	6697	3	64
GO:0004823	6571	3	64
GO:0051538	6545	3	64
GO:0008410	6446	3	64
GO:0000162	6356	3	64
GO:0015833	6312	3	64
GO:0030145	6308	3	64
GO:0016614	6275	3	64
GO:0006419	6260	3	64
GO:0015935	6226	3	64
GO:0097367	6193	3	64
GO:0043546	6173	3	64
GO:0015074	6122	3	64
GO:0006777	6115	3	64
GO:0015937	6113	3	64
GO:0004832	6083	3	64
GO:0006614	6058	3	64
GO:0016831	6039	3	64
GO:0008299	5990	3	64
GO:0016818	5909	3	64
GO:0009231	5848	3	64
GO:0016987	5812	3	64
GO:0015934	5763	3	64
GO:0042450	5754	3	64
GO:0003852	5749	3	64
GO:0043952	5679	3	64
GO:0008115	5674	3	64
GO:0070006	5670	3	64
GO:0006438	5642	3	64
GO:0009245	5642	3	64
GO:0003994	5633	3	64
GO:0009060	5584	3	64
