Annotation	n	depth	station
GO:0016021	9162514	1	78
GO:0005524	8937411	1	78
GO:0005737	7478678	1	78
GO:0046872	5198984	1	78
GO:0005886	3831185	1	78
GO:0003677	3134101	1	78
GO:0000287	1935767	1	78
GO:0016787	1676602	1	78
GO:0016491	1557600	1	78
GO:0008270	1463692	1	78
GO:0051539	1044572	1	78
GO:0005525	1007771	1	78
GO:0016887	948874	1	78
GO:0003723	925463	1	78
GO:0022857	902859	1	78
GO:0006412	888286	1	78
GO:0006260	885792	1	78
GO:0042626	877133	1	78
GO:0050660	849965	1	78
GO:0000049	833028	1	78
GO:0055085	806256	1	78
GO:0030170	802264	1	78
GO:0016740	760876	1	78
GO:0006099	753354	1	78
GO:0003824	737484	1	78
GO:0003924	733352	1	78
GO:0006281	729505	1	78
GO:0051287	720198	1	78
GO:0005975	715248	1	78
GO:0051301	693026	1	78
GO:0006541	688390	1	78
GO:0003735	687485	1	78
GO:0032259	659656	1	78
GO:0009252	604654	1	78
GO:0003676	574917	1	78
GO:0019843	567988	1	78
GO:0005840	565941	1	78
GO:0008360	564224	1	78
GO:0003887	530396	1	78
GO:0003899	524082	1	78
GO:0006351	509206	1	78
GO:0050661	503957	1	78
GO:0071555	493021	1	78
GO:0000166	490109	1	78
GO:0016829	485112	1	78
GO:0009432	481791	1	78
GO:0008168	458514	1	78
GO:0006189	451079	1	78
GO:0004252	430321	1	78
GO:0006265	427759	1	78
GO:0016301	422118	1	78
GO:0020037	416588	1	78
GO:0031676	413778	1	78
GO:0005887	400913	1	78
GO:0051082	391638	1	78
GO:0007049	390739	1	78
GO:0006457	390363	1	78
GO:0003678	389082	1	78
GO:0009279	386792	1	78
GO:0008137	384746	1	78
GO:0030976	381204	1	78
GO:0009058	380077	1	78
GO:0006355	378714	1	78
GO:0009097	378138	1	78
GO:0006633	371889	1	78
GO:0043190	370582	1	78
GO:0008408	369562	1	78
GO:0016020	369241	1	78
GO:0048038	367224	1	78
GO:0009055	361376	1	78
GO:0006310	349858	1	78
GO:0002161	342168	1	78
GO:0006289	338126	1	78
GO:0004222	337416	1	78
GO:0009380	335539	1	78
GO:0008483	335349	1	78
GO:0003746	326510	1	78
GO:0005506	318228	1	78
GO:0006526	314681	1	78
GO:0016757	314003	1	78
GO:0003918	310395	1	78
GO:0006261	305087	1	78
GO:0010181	301370	1	78
GO:0044205	296147	1	78
GO:0005694	292254	1	78
GO:0004176	289053	1	78
GO:0051536	288769	1	78
GO:0046933	284636	1	78
GO:0009381	284313	1	78
GO:0042773	280164	1	78
GO:0009098	272057	1	78
GO:0008233	267407	1	78
GO:0009089	266605	1	78
GO:0006605	265936	1	78
GO:0006396	258470	1	78
GO:0016620	255458	1	78
GO:0006096	255242	1	78
GO:0051537	251809	1	78
GO:0006537	251469	1	78
GO:0003684	251195	1	78
GO:0065002	251018	1	78
GO:0003700	248598	1	78
GO:0042597	247446	1	78
GO:0004386	247058	1	78
GO:0015979	245650	1	78
GO:0018298	243126	1	78
GO:0016874	241484	1	78
GO:0009099	240065	1	78
GO:0000105	239292	1	78
GO:0051538	234899	1	78
GO:0016114	232591	1	78
GO:0009236	232150	1	78
GO:0045261	222560	1	78
GO:0006400	221031	1	78
GO:0009073	217009	1	78
GO:0004748	214101	1	78
GO:0016627	214007	1	78
GO:0008658	213733	1	78
GO:0000155	212635	1	78
GO:0008652	208003	1	78
GO:0016746	203138	1	78
GO:0004088	202122	1	78
GO:0032549	200899	1	78
GO:0009082	200815	1	78
GO:0071949	200552	1	78
GO:0008237	199281	1	78
GO:0016853	196793	1	78
GO:1990077	194790	1	78
GO:0004553	189691	1	78
GO:0004519	186884	1	78
GO:0046983	186684	1	78
GO:0015031	183030	1	78
GO:0030145	182082	1	78
GO:0004129	175874	1	78
GO:0009088	175493	1	78
GO:0016226	175380	1	78
GO:0009423	171769	1	78
GO:0008955	171455	1	78
GO:0006730	171084	1	78
GO:0009116	169142	1	78
GO:0030163	169000	1	78
GO:0043022	165541	1	78
GO:0016987	162633	1	78
GO:0006782	160721	1	78
GO:0015995	160320	1	78
GO:0006353	158445	1	78
GO:0016168	157222	1	78
GO:0003697	156340	1	78
GO:0046961	152578	1	78
GO:0019288	150530	1	78
GO:0043952	149726	1	78
GO:0035999	149217	1	78
GO:0009228	148832	1	78
GO:0017004	148137	1	78
GO:0009086	145223	1	78
GO:0009002	143866	1	78
GO:0009435	143421	1	78
GO:0015930	143256	1	78
GO:0006207	143227	1	78
GO:0008115	142946	1	78
GO:0046653	141691	1	78
GO:0003743	141621	1	78
GO:0019877	140880	1	78
GO:0009245	138640	1	78
GO:0031419	138382	1	78
GO:0003989	138219	1	78
GO:0006814	138094	1	78
GO:0004826	136605	1	78
GO:0006432	136170	1	78
GO:0043565	135693	1	78
GO:0016705	135533	1	78
GO:0006269	134628	1	78
GO:0016779	132338	1	78
GO:0017038	132016	1	78
GO:0006629	131431	1	78
GO:0000160	130947	1	78
GO:0008236	128662	1	78
GO:0070006	128638	1	78
GO:0003755	128479	1	78
GO:0004822	127776	1	78
GO:0006428	126566	1	78
GO:0050567	126386	1	78
GO:0005509	126061	1	78
GO:0009360	124779	1	78
GO:0009231	124568	1	78
GO:0004356	123067	1	78
GO:0019346	122947	1	78
GO:0015293	122097	1	78
GO:0004642	120400	1	78
GO:0003994	120004	1	78
GO:0004375	119444	1	78
GO:0047780	118550	1	78
GO:0006542	118218	1	78
GO:0015935	118193	1	78
GO:0016616	117819	1	78
GO:0016655	116537	1	78
GO:0003917	116468	1	78
GO:0008654	114621	1	78
GO:0044208	114606	1	78
GO:2001295	114189	1	78
GO:0004813	113959	1	78
GO:0006419	113654	1	78
GO:0006094	113247	1	78
GO:0006402	112541	1	78
GO:0006749	111565	1	78
GO:0051213	111261	1	78
GO:0015934	111206	1	78
GO:0005576	110504	1	78
GO:0042026	109865	1	78
GO:0009060	108704	1	78
GO:0004654	108683	1	78
GO:0003852	106949	1	78
GO:0008616	106642	1	78
GO:0031564	105652	1	78
GO:0004591	105638	1	78
GO:0015450	105375	1	78
GO:0004739	104706	1	78
GO:0004177	104444	1	78
GO:0016149	104095	1	78
GO:0097367	104030	1	78
GO:0006284	103993	1	78
GO:0006865	103207	1	78
GO:0016117	102907	1	78
GO:0008033	102634	1	78
GO:0004497	101989	1	78
GO:0006744	101120	1	78
GO:0004315	101094	1	78
GO:0002098	100727	1	78
GO:0006520	99385	1	78
GO:0004823	98948	1	78
GO:0015977	98943	1	78
GO:0006429	98729	1	78
GO:0004820	97756	1	78
GO:0006426	97538	1	78
GO:0004829	97092	1	78
GO:0006435	96908	1	78
GO:0003987	96706	1	78
GO:0009306	96213	1	78
GO:0008094	95991	1	78
GO:0008519	95608	1	78
GO:0045156	95454	1	78
GO:0006364	95049	1	78
GO:0016614	94967	1	78
GO:0006807	94727	1	78
GO:0004832	94228	1	78
GO:0005315	94203	1	78
GO:0006438	94035	1	78
GO:0070403	93674	1	78
GO:0016208	93040	1	78
GO:0019427	93039	1	78
GO:0008177	92801	1	78
GO:0000162	92646	1	78
GO:0042254	92495	1	78
GO:0003984	91996	1	78
GO:0055129	91717	1	78
GO:0009113	90704	1	78
GO:0009772	90576	1	78
GO:0006546	90245	1	78
GO:0045454	89963	1	78
GO:0008484	89264	1	78
GO:0004359	89227	1	78
GO:0004540	88892	1	78
GO:0004427	88483	1	78
GO:0016810	87851	1	78
GO:0004527	87138	1	78
GO:0006614	86892	1	78
GO:0015937	86774	1	78
GO:0030261	86667	1	78
GO:0007062	86243	1	78
GO:0004814	86223	1	78
GO:0006420	86120	1	78
GO:0044210	86030	1	78
GO:0015969	85770	1	78
GO:0006298	85502	1	78
GO:0006352	85067	1	78
GO:0004355	84783	1	78
GO:0030983	84774	1	78
GO:0070469	84408	1	78
GO:0009317	84272	1	78
GO:0008324	83927	1	78
GO:0001123	83887	1	78
GO:0006098	83804	1	78
GO:0009229	83724	1	78
GO:0006097	83253	1	78
GO:0004834	83171	1	78
GO:0004326	83018	1	78
GO:0003861	82461	1	78
GO:0005507	81927	1	78
GO:0006979	81559	1	78
GO:0022904	81212	1	78
GO:0031071	81079	1	78
GO:0008661	80592	1	78
GO:0000917	80405	1	78
GO:0043093	80254	1	78
GO:0009399	79756	1	78
GO:0004160	78636	1	78
GO:0008299	77697	1	78
GO:0015297	77616	1	78
GO:0016743	77046	1	78
GO:0008610	77030	1	78
GO:0019752	76944	1	78
GO:0052865	76580	1	78
GO:0016151	76195	1	78
GO:0047834	75089	1	78
GO:0046677	74978	1	78
GO:0004672	74000	1	78
GO:0004815	73472	1	78
GO:0015658	73457	1	78
GO:0006422	73431	1	78
