Annotation	n	depth	station
GO:0016021	2046956	1	111
GO:0005524	1821210	1	111
GO:0005737	1507848	1	111
GO:0046872	1099802	1	111
GO:0005886	864159	1	111
GO:0003677	668018	1	111
GO:0000287	397456	1	111
GO:0016787	363163	1	111
GO:0016491	349515	1	111
GO:0008270	306776	1	111
GO:0022857	221068	1	111
GO:0051539	217007	1	111
GO:0005525	212713	1	111
GO:0016887	196846	1	111
GO:0006412	196818	1	111
GO:0050660	193738	1	111
GO:0006260	187214	1	111
GO:0042626	184973	1	111
GO:0055085	184617	1	111
GO:0003723	177980	1	111
GO:0000049	177501	1	111
GO:0006099	171186	1	111
GO:0030170	168086	1	111
GO:0016740	159530	1	111
GO:0003924	157649	1	111
GO:0003735	154999	1	111
GO:0051287	153945	1	111
GO:0003824	152936	1	111
GO:0006281	142535	1	111
GO:0006541	139083	1	111
GO:0005975	139007	1	111
GO:0051301	129780	1	111
GO:0005840	123217	1	111
GO:0019843	122341	1	111
GO:0032259	121241	1	111
GO:0003899	120037	1	111
GO:0003676	118677	1	111
GO:0006351	115765	1	111
GO:0000166	115102	1	111
GO:0009252	113810	1	111
GO:0003887	111278	1	111
GO:0009279	109027	1	111
GO:0020037	104911	1	111
GO:0008360	103846	1	111
GO:0004252	102370	1	111
GO:0009432	99868	1	111
GO:0006265	98228	1	111
GO:0016829	96704	1	111
GO:0050661	95163	1	111
GO:0071555	89732	1	111
GO:0009055	88940	1	111
GO:0008168	88287	1	111
GO:0006189	85950	1	111
GO:0030976	85294	1	111
GO:0006633	85276	1	111
GO:0051082	83383	1	111
GO:0016301	82508	1	111
GO:0016020	82396	1	111
GO:0006457	82280	1	111
GO:0008408	79704	1	111
GO:0043190	79256	1	111
GO:0008137	77491	1	111
GO:0003746	76637	1	111
GO:0009097	76602	1	111
GO:0008483	75694	1	111
GO:0006289	75412	1	111
GO:0009380	74884	1	111
GO:0003678	74840	1	111
GO:0009058	74646	1	111
GO:0005887	73976	1	111
GO:0007049	73732	1	111
GO:0006355	73568	1	111
GO:0003918	73078	1	111
GO:0006261	72234	1	111
GO:0048038	71115	1	111
GO:0002161	70593	1	111
GO:0005694	70576	1	111
GO:0005506	68953	1	111
GO:0010181	64908	1	111
GO:0046933	64523	1	111
GO:0006310	63563	1	111
GO:0016620	62799	1	111
GO:0008233	62085	1	111
GO:0044205	61853	1	111
GO:0004222	61571	1	111
GO:0006605	60657	1	111
GO:0009381	60463	1	111
GO:0004176	60081	1	111
GO:0042597	59854	1	111
GO:0006526	59796	1	111
GO:0009098	57933	1	111
GO:0065002	57140	1	111
GO:0031676	56161	1	111
GO:0003700	55269	1	111
GO:0051537	54180	1	111
GO:0006537	53860	1	111
GO:0016874	53807	1	111
GO:0042773	53689	1	111
GO:0006396	52085	1	111
GO:0016757	51993	1	111
GO:0005509	51617	1	111
GO:0009099	50977	1	111
GO:0009089	50587	1	111
GO:0016627	49919	1	111
GO:0045261	49531	1	111
GO:0051536	49307	1	111
GO:0004748	49221	1	111
GO:0003684	49166	1	111
GO:0006096	47813	1	111
GO:0051538	47784	1	111
GO:0018298	47433	1	111
GO:0000105	47235	1	111
GO:0032549	46835	1	111
GO:0016114	46448	1	111
GO:0004129	45630	1	111
GO:0016746	45214	1	111
GO:0004386	44599	1	111
GO:0016853	44504	1	111
GO:0008237	44375	1	111
GO:0004088	43435	1	111
GO:0015979	43183	1	111
GO:0009082	42463	1	111
GO:0015031	42428	1	111
GO:0000155	41438	1	111
GO:0008658	41303	1	111
GO:0009073	41047	1	111
GO:0004553	40922	1	111
GO:0006400	40665	1	111
GO:0016226	39486	1	111
GO:1990077	38956	1	111
GO:0008652	37934	1	111
GO:0009116	37898	1	111
GO:0006730	37643	1	111
GO:0043022	37243	1	111
GO:0046983	37151	1	111
GO:0046961	36093	1	111
GO:0071949	35703	1	111
GO:0016987	35517	1	111
GO:0043565	35210	1	111
GO:0006353	35199	1	111
GO:0006814	35048	1	111
GO:0015930	34879	1	111
GO:0035999	34545	1	111
GO:0008115	33493	1	111
GO:0043952	33475	1	111
GO:0030163	33216	1	111
GO:0004519	32799	1	111
GO:0003743	32688	1	111
GO:0030145	32655	1	111
GO:0008955	32499	1	111
GO:0046653	32271	1	111
GO:0003989	31765	1	111
GO:0017004	31426	1	111
GO:0009088	31340	1	111
GO:0009423	31284	1	111
GO:0017038	30458	1	111
GO:0016168	30343	1	111
GO:0031419	30330	1	111
GO:0009086	30311	1	111
GO:0006782	29672	1	111
GO:0003697	29281	1	111
GO:0004356	29233	1	111
GO:0008484	29143	1	111
GO:0019288	28912	1	111
GO:0016616	28893	1	111
GO:0009002	28772	1	111
GO:0016705	28459	1	111
GO:0000160	28332	1	111
GO:0009060	28293	1	111
GO:0004822	28083	1	111
GO:0006207	27946	1	111
GO:0015935	27834	1	111
GO:0008236	27803	1	111
GO:0003755	27789	1	111
GO:0006428	27719	1	111
GO:0006542	27667	1	111
GO:0016810	27642	1	111
GO:0016655	27412	1	111
GO:0019877	27342	1	111
GO:0004826	27283	1	111
GO:0006432	27218	1	111
GO:0004591	26945	1	111
GO:0009245	26766	1	111
GO:0005576	26691	1	111
GO:0003994	26661	1	111
GO:0015293	26596	1	111
GO:0006094	26467	1	111
GO:0070006	26457	1	111
GO:0006269	26411	1	111
GO:0047780	26329	1	111
GO:0009228	26263	1	111
GO:0050567	26242	1	111
GO:0006629	26167	1	111
GO:2001295	26164	1	111
GO:0051213	26153	1	111
GO:0009435	25646	1	111
GO:0016779	25607	1	111
GO:0009236	25578	1	111
GO:0019346	25506	1	111
GO:0006520	25453	1	111
GO:0004642	25344	1	111
GO:0006402	25144	1	111
GO:0015934	25126	1	111
GO:0003917	24873	1	111
GO:0004177	24269	1	111
GO:0042026	24143	1	111
GO:0004375	24103	1	111
GO:0009231	24085	1	111
GO:0004315	23982	1	111
GO:0004813	23923	1	111
GO:0004654	23842	1	111
GO:0044208	23763	1	111
GO:0006419	23759	1	111
GO:0004739	23527	1	111
GO:0015450	23282	1	111
GO:0006744	23262	1	111
GO:0006865	23259	1	111
GO:0008654	23193	1	111
GO:0003852	23152	1	111
GO:0004775	23058	1	111
GO:0097367	23058	1	111
GO:0016614	22880	1	111
GO:0005507	22871	1	111
GO:0070403	22777	1	111
GO:0031564	22735	1	111
GO:0009399	22662	1	111
GO:0009360	22509	1	111
GO:0006284	21930	1	111
GO:0008177	21767	1	111
GO:0015995	21678	1	111
GO:0006979	21490	1	111
GO:0070469	21423	1	111
GO:0016149	21336	1	111
GO:0004497	21309	1	111
GO:0044210	21124	1	111
GO:0004832	21039	1	111
GO:0004829	21038	1	111
GO:0006438	21023	1	111
GO:0006435	20847	1	111
GO:0003987	20650	1	111
GO:0004427	20555	1	111
GO:0008033	20373	1	111
GO:0016208	20180	1	111
GO:0019427	20180	1	111
GO:0006090	20076	1	111
GO:0003984	19706	1	111
GO:0004823	19646	1	111
GO:0022904	19526	1	111
GO:0006429	19524	1	111
GO:0008519	19506	1	111
GO:0004527	19441	1	111
GO:0009317	19285	1	111
GO:0015833	19190	1	111
GO:0042254	19077	1	111
GO:0006352	18980	1	111
GO:0008094	18907	1	111
GO:0015969	18858	1	111
GO:0008616	18787	1	111
GO:0009678	18751	1	111
GO:0009113	18726	1	111
GO:0004518	18605	1	111
GO:0004820	18599	1	111
GO:0016117	18576	1	111
GO:0002098	18476	1	111
GO:0006426	18445	1	111
GO:0043093	18399	1	111
GO:0006749	18304	1	111
GO:0008610	18128	1	111
GO:0006097	18117	1	111
GO:0045454	18072	1	111
GO:0000162	18052	1	111
GO:0015297	18009	1	111
GO:0004814	17985	1	111
GO:0008299	17896	1	111
GO:0001123	17857	1	111
GO:0006420	17855	1	111
GO:0019464	17757	1	111
GO:0004834	17697	1	111
GO:0000917	17536	1	111
GO:0004160	17393	1	111
GO:0008661	17335	1	111
GO:0015232	17303	1	111
GO:0003861	17270	1	111
GO:0003883	17237	1	111
GO:0071973	17142	1	111
GO:0045727	17125	1	111
GO:0009306	17094	1	111
GO:0004355	17045	1	111
GO:0007059	17000	1	111
GO:0016743	16996	1	111
GO:0008410	16861	1	111
GO:0034605	16691	1	111
GO:0006614	16685	1	111
GO:0003995	16665	1	111
GO:0006515	16661	1	111
GO:0055129	16605	1	111
GO:0030261	16517	1	111
GO:0007062	16473	1	111
GO:0052865	16397	1	111
GO:0004013	16349	1	111
GO:0045156	16334	1	111
GO:0004815	16312	1	111
GO:0006422	16291	1	111
GO:0006119	16216	1	111
GO:0015977	16119	1	111
GO:0006364	16088	1	111
GO:0030246	16028	1	111
GO:0032153	16019	1	111
GO:0015990	15987	1	111
GO:0015937	15859	1	111
GO:0030955	15803	1	111
GO:0009408	15790	1	111
GO:0001522	15634	1	111
GO:0006108	15581	1	111
GO:0009772	15302	1	111
GO:0004359	15266	1	111
GO:0004540	15176	1	111
GO:0019752	15165	1	111
GO:0022900	15155	1	111
GO:0004148	15147	1	111
GO:0008750	14772	1	111
GO:0004471	14767	1	111
GO:0004802	14730	1	111
GO:0035596	14621	1	111
GO:0004360	14513	1	111
GO:0006546	14494	1	111
GO:0006275	14450	1	111
GO:1901137	14432	1	111
GO:0050560	14411	1	111
GO:0050242	14385	1	111
GO:0006270	14301	1	111
GO:0046677	14299	1	111
GO:0009982	14267	1	111
GO:0006535	14231	1	111
GO:0004096	14166	1	111
GO:0042744	14155	1	111
GO:0004824	14080	1	111
GO:0008324	14065	1	111
GO:0006430	14021	1	111
GO:0003688	13996	1	111
GO:0032977	13855	1	111
GO:0006783	13780	1	111
GO:0004372	13728	1	111
GO:0019264	13724	1	111
GO:0015658	13678	1	111
GO:0003857	13619	1	111
GO:0000902	13614	1	111
GO:0004450	13608	1	111
GO:0043335	13528	1	111
GO:0009522	13517	1	111
