Annotation	n	depth	station
GO:0016021	5256626	3	68
GO:0005524	4192296	3	68
GO:0005737	3073868	3	68
GO:0046872	2813679	3	68
GO:0005886	1925945	3	68
GO:0003677	1447857	3	68
GO:0016491	1175294	3	68
GO:0016787	1148132	3	68
GO:0000287	825478	3	68
GO:0008270	720388	3	68
GO:0003824	668567	3	68
GO:0022857	607123	3	68
GO:0051539	568957	3	68
GO:0016740	519322	3	68
GO:0005525	515937	3	68
GO:0055085	462568	3	68
GO:0042626	455472	3	68
GO:0032259	443516	3	68
GO:0030170	440545	3	68
GO:0050660	434918	3	68
GO:0016887	434412	3	68
GO:0006412	410639	3	68
GO:0003723	395190	3	68
GO:0000049	371693	3	68
GO:0006260	366785	3	68
GO:0003924	358829	3	68
GO:0051287	347465	3	68
GO:0005975	340211	3	68
GO:0006281	327474	3	68
GO:0051536	319720	3	68
GO:0003735	317467	3	68
GO:0008168	316138	3	68
GO:0020037	312935	3	68
GO:0009055	311387	3	68
GO:0006099	310253	3	68
GO:0003676	300280	3	68
GO:0000166	289366	3	68
GO:0006541	284921	3	68
GO:0005840	266502	3	68
GO:0008483	255398	3	68
GO:0016301	243965	3	68
GO:0003899	241374	3	68
GO:0051301	232747	3	68
GO:0019843	229294	3	68
GO:0004252	229035	3	68
GO:0006351	219224	3	68
GO:0008137	218371	3	68
GO:0050661	214779	3	68
GO:0016020	213222	3	68
GO:0016829	209329	3	68
GO:0003887	208294	3	68
GO:0009058	205235	3	68
GO:0006189	205181	3	68
GO:0030976	204138	3	68
GO:0043190	202878	3	68
GO:0009252	196205	3	68
GO:0051537	192036	3	68
GO:0006265	190616	3	68
GO:0003678	189807	3	68
GO:0016874	184657	3	68
GO:0009279	181728	3	68
GO:0008360	180858	3	68
GO:0005506	179485	3	68
GO:0006457	175685	3	68
GO:0003746	174072	3	68
GO:0006355	167108	3	68
GO:0002161	166971	3	68
GO:0048038	162257	3	68
GO:0051082	161571	3	68
GO:0071555	161246	3	68
GO:0006310	159879	3	68
GO:0042773	159131	3	68
GO:0009432	155281	3	68
GO:0016810	151952	3	68
GO:0016757	150291	3	68
GO:0016853	148941	3	68
GO:0004222	148213	3	68
GO:0005887	147130	3	68
GO:0003700	146410	3	68
GO:0006633	146238	3	68
GO:0008408	145604	3	68
GO:0016627	143811	3	68
GO:0009097	143282	3	68
GO:0007049	142506	3	68
GO:0016705	142026	3	68
GO:0004386	141938	3	68
GO:0003918	141129	3	68
GO:0031419	134402	3	68
GO:0005694	133137	3	68
GO:0008233	130951	3	68
GO:0006289	128699	3	68
GO:0010181	128337	3	68
GO:0006526	127488	3	68
GO:0009380	127096	3	68
GO:0016620	124379	3	68
GO:0044205	124018	3	68
GO:0071949	124011	3	68
GO:0008484	120773	3	68
GO:0000105	119100	3	68
GO:0051213	118957	3	68
GO:0046933	118954	3	68
GO:0009098	114726	3	68
GO:0008237	112434	3	68
GO:0006261	112204	3	68
GO:0000155	109199	3	68
GO:0006605	107411	3	68
GO:0006096	104887	3	68
GO:0004176	102355	3	68
GO:0009099	102251	3	68
GO:0016746	102217	3	68
GO:0003684	101170	3	68
GO:0006396	99610	3	68
GO:0009089	99348	3	68
GO:0043565	97876	3	68
GO:0016226	97375	3	68
GO:0009073	97189	3	68
GO:0065002	96831	3	68
GO:0042597	96637	3	68
GO:0004553	94575	3	68
GO:0008652	94569	3	68
GO:0006400	93075	3	68
GO:0006537	92678	3	68
GO:0005509	92213	3	68
GO:0009381	89767	3	68
GO:1990077	89629	3	68
GO:0032549	89195	3	68
GO:0009236	88836	3	68
GO:0035999	88077	3	68
GO:0046983	88072	3	68
GO:0004519	86810	3	68
GO:0009116	86166	3	68
GO:0008236	86069	3	68
GO:0009086	85837	3	68
GO:0015031	85733	3	68
GO:0004356	84765	3	68
GO:0003743	84205	3	68
GO:0000160	83587	3	68
GO:0004088	82407	3	68
GO:0004748	81770	3	68
GO:0005576	80873	3	68
GO:0009082	80191	3	68
GO:0008410	80142	3	68
GO:0016114	79603	3	68
