Annotation	n	depth	station
GO:0016021	206272	1	112
GO:0005524	202846	1	112
GO:0005737	168691	1	112
GO:0046872	114596	1	112
GO:0005886	80428	1	112
GO:0003677	68703	1	112
GO:0000287	44348	1	112
GO:0016787	37686	1	112
GO:0008270	34011	1	112
GO:0016491	32985	1	112
GO:0051539	23368	1	112
GO:0005525	22580	1	112
GO:0016887	22514	1	112
GO:0003723	20600	1	112
GO:0042626	19877	1	112
GO:0006260	19519	1	112
GO:0006412	19313	1	112
GO:0022857	18967	1	112
GO:0030170	18887	1	112
GO:0000049	18828	1	112
GO:0050660	18465	1	112
GO:0003824	17643	1	112
GO:0055085	17375	1	112
GO:0006281	16582	1	112
GO:0016740	16475	1	112
GO:0005975	16454	1	112
GO:0003924	16339	1	112
GO:0006099	16232	1	112
GO:0051287	15265	1	112
GO:0006541	15045	1	112
GO:0003735	14918	1	112
GO:0051301	14902	1	112
GO:0032259	14799	1	112
GO:0003676	13012	1	112
GO:0019843	12582	1	112
GO:0009252	12437	1	112
GO:0005840	12404	1	112
GO:0031676	11857	1	112
GO:0008360	11827	1	112
GO:0003899	11664	1	112
GO:0000166	11446	1	112
GO:0003887	11329	1	112
GO:0006351	11289	1	112
GO:0050661	10803	1	112
GO:0009432	10735	1	112
GO:0016829	10261	1	112
GO:0008168	10252	1	112
GO:0071555	10234	1	112
GO:0006189	10212	1	112
GO:0020037	9959	1	112
GO:0004252	9900	1	112
GO:0016301	9698	1	112
GO:0006265	9658	1	112
GO:0051082	9261	1	112
GO:0006457	8958	1	112
GO:0009055	8764	1	112
GO:0006355	8566	1	112
GO:0009058	8501	1	112
GO:0009097	8492	1	112
GO:0003678	8457	1	112
GO:0006633	8427	1	112
GO:0048038	8404	1	112
GO:0006310	8385	1	112
GO:0005887	8373	1	112
GO:0009279	8358	1	112
GO:0030976	8242	1	112
GO:0007049	8043	1	112
GO:0002161	8022	1	112
GO:0004222	7990	1	112
GO:0008137	7990	1	112
GO:0008408	7895	1	112
GO:0043190	7743	1	112
GO:0016020	7613	1	112
GO:0008483	7425	1	112
GO:0006289	7421	1	112
GO:0003746	7386	1	112
GO:0009380	7341	1	112
GO:0003918	7094	1	112
GO:0006526	7046	1	112
GO:0005506	7015	1	112
GO:0010181	6794	1	112
GO:0015979	6741	1	112
GO:0005694	6705	1	112
GO:0006261	6691	1	112
GO:0016757	6678	1	112
GO:0044205	6590	1	112
GO:0051536	6510	1	112
GO:0004176	6504	1	112
GO:0008233	6251	1	112
GO:0009381	6236	1	112
GO:0046933	6216	1	112
GO:0018298	6129	1	112
GO:0009098	5988	1	112
GO:0003684	5979	1	112
GO:0009236	5816	1	112
GO:0006605	5781	1	112
GO:0006096	5763	1	112
GO:0009089	5756	1	112
GO:0006396	5691	1	112
GO:0042773	5686	1	112
GO:0004386	5634	1	112
GO:0009099	5454	1	112
GO:0065002	5445	1	112
GO:0016114	5365	1	112
GO:0000105	5338	1	112
GO:0016874	5332	1	112
GO:0006537	5247	1	112
GO:0016620	5171	1	112
GO:0003700	5140	1	112
GO:0051538	5042	1	112
GO:0051537	4960	1	112
GO:0006400	4872	1	112
GO:0042597	4860	1	112
GO:0004748	4856	1	112
GO:0009073	4822	1	112
GO:0016627	4812	1	112
GO:0000155	4764	1	112
GO:0045261	4737	1	112
GO:0008652	4722	1	112
GO:0004553	4597	1	112
GO:0016853	4563	1	112
GO:0004088	4521	1	112
GO:0015995	4512	1	112
GO:0009082	4496	1	112
GO:0004519	4460	1	112
GO:0016746	4455	1	112
GO:0008658	4450	1	112
GO:0008237	4444	1	112
GO:0032549	4383	1	112
GO:0071949	4382	1	112
GO:0030145	4336	1	112
GO:1990077	4286	1	112
GO:0004129	4144	1	112
GO:0016168	4079	1	112
GO:0009088	3986	1	112
GO:0046983	3975	1	112
GO:0030163	3920	1	112
GO:0006730	3906	1	112
GO:0015031	3905	1	112
GO:0009423	3889	1	112
GO:0016226	3843	1	112
GO:0009116	3743	1	112
GO:0016987	3715	1	112
GO:0006782	3688	1	112
GO:0043022	3634	1	112
GO:0009228	3626	1	112
GO:0005509	3610	1	112
GO:0003697	3587	1	112
GO:0019288	3530	1	112
GO:0008955	3524	1	112
GO:0031419	3520	1	112
GO:0009435	3493	1	112
GO:0046961	3360	1	112
GO:0009245	3287	1	112
GO:0035999	3250	1	112
GO:0006353	3245	1	112
GO:0006207	3199	1	112
GO:0003989	3196	1	112
GO:0009086	3194	1	112
GO:0043952	3189	1	112
GO:0017004	3165	1	112
GO:0015930	3156	1	112
GO:0004826	3073	1	112
GO:0003743	3067	1	112
GO:0006432	3060	1	112
GO:0006629	3060	1	112
GO:0000160	3051	1	112
GO:0004822	3029	1	112
GO:0006428	2986	1	112
GO:0008236	2986	1	112
GO:0019346	2978	1	112
GO:0008484	2967	1	112
GO:0009002	2959	1	112
GO:0019877	2953	1	112
GO:0016779	2920	1	112
GO:0006269	2916	1	112
GO:0016705	2904	1	112
GO:0003755	2901	1	112
GO:0017038	2864	1	112
GO:0043565	2852	1	112
GO:0009231	2806	1	112
GO:0050567	2795	1	112
GO:0070006	2765	1	112
GO:0006814	2749	1	112
GO:0016117	2745	1	112
GO:0004375	2732	1	112
GO:0005576	2719	1	112
GO:0003994	2695	1	112
GO:0006749	2694	1	112
GO:0004642	2650	1	112
GO:0015935	2645	1	112
GO:0047780	2637	1	112
GO:2001295	2630	1	112
GO:0006094	2618	1	112
GO:0015293	2604	1	112
GO:0004813	2599	1	112
GO:0006419	2593	1	112
GO:0042026	2549	1	112
GO:0009360	2548	1	112
GO:0016655	2544	1	112
GO:0008616	2542	1	112
GO:0006402	2535	1	112
GO:0003917	2534	1	112
GO:0008654	2524	1	112
GO:0009060	2524	1	112
GO:0016616	2524	1	112
GO:0016149	2477	1	112
GO:0015977	2471	1	112
GO:0004497	2434	1	112
GO:0044208	2424	1	112
GO:0004654	2414	1	112
GO:0015934	2413	1	112
GO:0004177	2356	1	112
GO:0004315	2335	1	112
GO:0009306	2327	1	112
GO:0006807	2298	1	112
GO:0051213	2297	1	112
GO:0006298	2287	1	112
GO:0004823	2286	1	112
GO:0003852	2285	1	112
GO:0006429	2283	1	112
GO:0004739	2281	1	112
GO:0004356	2268	1	112
GO:0008033	2268	1	112
GO:0030983	2268	1	112
GO:0097367	2262	1	112
GO:0045156	2257	1	112
GO:0006364	2228	1	112
GO:0006284	2227	1	112
GO:0004820	2222	1	112
GO:0002098	2217	1	112
GO:0006426	2213	1	112
GO:0008094	2199	1	112
GO:0031564	2183	1	112
GO:0015450	2178	1	112
GO:0004359	2177	1	112
GO:0006542	2168	1	112
GO:0006520	2162	1	112
GO:0016851	2157	1	112
GO:0009772	2153	1	112
GO:0004832	2152	1	112
GO:0008324	2152	1	112
GO:0000162	2151	1	112
GO:0006438	2151	1	112
GO:0070469	2148	1	112
GO:0003987	2146	1	112
GO:0009229	2146	1	112
GO:0006352	2145	1	112
GO:0006098	2127	1	112
GO:0016614	2126	1	112
GO:0009113	2118	1	112
GO:0004591	2117	1	112
GO:0006546	2115	1	112
GO:0030261	2107	1	112
GO:0007062	2103	1	112
GO:0004829	2096	1	112
GO:0004540	2093	1	112
GO:0006435	2090	1	112
GO:0003984	2085	1	112
GO:0045454	2084	1	112
GO:0016208	2061	1	112
GO:0019427	2061	1	112
GO:0042254	2040	1	112
GO:0044210	2024	1	112
GO:0008854	2020	1	112
GO:0055129	2015	1	112
GO:0008115	2013	1	112
GO:0006979	2008	1	112
GO:0005507	2000	1	112
GO:0031071	1989	1	112
GO:0004427	1970	1	112
GO:0046653	1968	1	112
GO:0047834	1966	1	112
