Annotation	n	depth	station
GO:0016021	10040686	2	68
GO:0005524	8513454	2	68
GO:0005737	6771627	2	68
GO:0046872	4956032	2	68
GO:0005886	3308411	2	68
GO:0003677	2956354	2	68
GO:0000287	1747379	2	68
GO:0016787	1730950	2	68
GO:0016491	1630044	2	68
GO:0008270	1444808	2	68
GO:0051539	994776	2	68
GO:0005525	980536	2	68
GO:0016887	932240	2	68
GO:0022857	908257	2	68
GO:0003723	886510	2	68
GO:0042626	867136	2	68
GO:0003824	861404	2	68
GO:0006412	847272	2	68
GO:0030170	799535	2	68
GO:0000049	777016	2	68
GO:0050660	773311	2	68
GO:0006260	764065	2	68
GO:0055085	727990	2	68
GO:0016740	721810	2	68
GO:0003924	689578	2	68
GO:0005975	689462	2	68
GO:0006281	687025	2	68
GO:0003735	660730	2	68
GO:0003676	640279	2	68
GO:0051287	621125	2	68
GO:0006099	618603	2	68
GO:0006541	606364	2	68
GO:0032259	601332	2	68
GO:0051301	582129	2	68
GO:0005840	533753	2	68
GO:0019843	526932	2	68
GO:0020037	511948	2	68
GO:0004252	500527	2	68
GO:0009252	490597	2	68
GO:0009055	488966	2	68
GO:0003899	485361	2	68
GO:0008360	470288	2	68
GO:0006351	470126	2	68
GO:0000166	468592	2	68
GO:0003887	466800	2	68
GO:0006189	453503	2	68
GO:0009279	452502	2	68
GO:0016301	435208	2	68
GO:0016829	425178	2	68
GO:0050661	424310	2	68
GO:0009432	413343	2	68
GO:0008168	411899	2	68
GO:0071555	408222	2	68
GO:0006265	407063	2	68
GO:0006457	393271	2	68
GO:0016020	384694	2	68
GO:0009058	381189	2	68
GO:0051082	379914	2	68
GO:0031676	377775	2	68
GO:0006355	372667	2	68
GO:0003678	358691	2	68
GO:0005506	356838	2	68
GO:0008483	353808	2	68
GO:0008137	343440	2	68
GO:0051536	342906	2	68
GO:0002161	340962	2	68
GO:0005887	339029	2	68
GO:0006633	336031	2	68
GO:0007049	334150	2	68
GO:0004222	326692	2	68
GO:0006310	326655	2	68
GO:0043190	322915	2	68
GO:0048038	320981	2	68
GO:0030976	319348	2	68
GO:0016757	315753	2	68
GO:0006289	313306	2	68
GO:0008408	310498	2	68
GO:0005509	309675	2	68
GO:0009380	307925	2	68
GO:0003918	304207	2	68
GO:0009097	298526	2	68
GO:0003746	294741	2	68
GO:0005694	287193	2	68
GO:0010181	282898	2	68
GO:0006261	277242	2	68
GO:0044205	274000	2	68
GO:0006526	273228	2	68
GO:0051537	272451	2	68
GO:0004386	263639	2	68
GO:0046933	257398	2	68
GO:0042773	252569	2	68
GO:0015979	252522	2	68
GO:0008233	248144	2	68
GO:0003700	248066	2	68
GO:0009381	247983	2	68
GO:0004176	241833	2	68
GO:0003684	237254	2	68
GO:0006096	234472	2	68
GO:0016620	234260	2	68
GO:0018298	227939	2	68
GO:0006605	227016	2	68
GO:0016874	222085	2	68
GO:0006396	222043	2	68
GO:0009089	218803	2	68
GO:0009236	215927	2	68
GO:0009098	215738	2	68
GO:0065002	215022	2	68
GO:0016627	208987	2	68
GO:0008237	207427	2	68
GO:0006400	207303	2	68
GO:0000105	207059	2	68
GO:0071949	201588	2	68
GO:0008652	198101	2	68
GO:0000155	196959	2	68
GO:0004553	196908	2	68
GO:0009073	196663	2	68
GO:0016853	195131	2	68
GO:0009099	194938	2	68
GO:0006537	191501	2	68
GO:0016114	190053	2	68
GO:0045261	186382	2	68
GO:0042597	183630	2	68
GO:0032549	182062	2	68
GO:0016746	181158	2	68
GO:0031419	180333	2	68
GO:0004088	179479	2	68
GO:1990077	177726	2	68
GO:0016226	173392	2	68
GO:0051538	173195	2	68
GO:0008658	172192	2	68
GO:0004129	168865	2	68
GO:0009116	167979	2	68
GO:0015031	167639	2	68
GO:0030145	167251	2	68
GO:0046983	164676	2	68
GO:0016705	164309	2	68
GO:0009423	163250	2	68
GO:0009082	163033	2	68
GO:0009088	159241	2	68
GO:0006730	157746	2	68
GO:0004748	157655	2	68
GO:0016168	156103	2	68
GO:0004519	152186	2	68
GO:0003755	149706	2	68
GO:0035999	147985	2	68
GO:0003743	147408	2	68
GO:0006629	146568	2	68
GO:0030163	146293	2	68
GO:0006782	145124	2	68
GO:0017004	144909	2	68
GO:0043022	144660	2	68
GO:0016987	142899	2	68
GO:0046961	139033	2	68
GO:0008484	138473	2	68
GO:0000160	138075	2	68
GO:0008236	138067	2	68
GO:0016810	136959	2	68
GO:0015995	136856	2	68
GO:0009435	134029	2	68
GO:0006353	133491	2	68
GO:0009228	132780	2	68
GO:0016779	131674	2	68
GO:0006207	131549	2	68
GO:0043565	128997	2	68
GO:0009245	128833	2	68
GO:0004642	128100	2	68
GO:0043952	126672	2	68
GO:0019288	126594	2	68
GO:0003989	126141	2	68
GO:0009086	121818	2	68
GO:0004822	121423	2	68
GO:0070006	120922	2	68
GO:0006428	120275	2	68
GO:0004826	119883	2	68
GO:0008033	119805	2	68
GO:0006432	119550	2	68
GO:0006814	118536	2	68
GO:0008955	118420	2	68
GO:0003697	116355	2	68
GO:0015935	115754	2	68
GO:0009231	114429	2	68
GO:0006094	114204	2	68
GO:0004177	113821	2	68
GO:0051213	112953	2	68
GO:0006520	112468	2	68
GO:0006269	111888	2	68
GO:0015293	111289	2	68
GO:0004497	111190	2	68
GO:0019877	110985	2	68
GO:0050567	110956	2	68
GO:0004813	110247	2	68
GO:0019346	110200	2	68
GO:0005576	109146	2	68
GO:0009002	109027	2	68
GO:0006419	108683	2	68
GO:0008654	108284	2	68
GO:0004356	107927	2	68
GO:0009360	107768	2	68
GO:0015934	107230	2	68
GO:0015930	107062	2	68
GO:0016616	106817	2	68
GO:0008616	106224	2	68
GO:0009060	104542	2	68
GO:0005507	104502	2	68
GO:0004375	103714	2	68
GO:0097367	103262	2	68
GO:0017038	103157	2	68
GO:0006542	102857	2	68
GO:0044208	102143	2	68
GO:0003917	102064	2	68
GO:0016655	101738	2	68
GO:0042026	101550	2	68
GO:0004832	101431	2	68
GO:0006438	101267	2	68
GO:0003994	101027	2	68
GO:0006284	100195	2	68
GO:0008115	100128	2	68
GO:0008324	99678	2	68
GO:2001295	99657	2	68
GO:0004315	99522	2	68
GO:0070403	99020	2	68
