Annotation	n	depth	station
GO:0016021	146219	3	112
GO:0005524	111515	3	112
GO:0005737	79677	3	112
GO:0046872	74409	3	112
GO:0005886	50161	3	112
GO:0003677	40167	3	112
GO:0016787	30522	3	112
GO:0016491	28452	3	112
GO:0000287	21208	3	112
GO:0008270	19600	3	112
GO:0003824	16756	3	112
GO:0016740	15804	3	112
GO:0022857	15686	3	112
GO:0051539	14835	3	112
GO:0005525	13394	3	112
GO:0032259	12313	3	112
GO:0005975	12248	3	112
GO:0016887	11677	3	112
GO:0055085	11573	3	112
GO:0042626	11397	3	112
GO:0030170	11309	3	112
GO:0050660	10985	3	112
GO:0006412	10882	3	112
GO:0003723	10454	3	112
GO:0006260	10057	3	112
GO:0000049	9749	3	112
GO:0009279	9475	3	112
GO:0003924	9176	3	112
GO:0051287	9159	3	112
GO:0006281	8786	3	112
GO:0008168	8561	3	112
GO:0003676	8528	3	112
GO:0003735	8528	3	112
GO:0051536	8237	3	112
GO:0016301	7849	3	112
GO:0006099	7829	3	112
GO:0006541	7524	3	112
GO:0005840	7510	3	112
GO:0020037	7275	3	112
GO:0000166	7001	3	112
GO:0009055	6943	3	112
GO:0008483	6660	3	112
GO:0003899	6490	3	112
GO:0004252	6427	3	112
GO:0051301	6185	3	112
GO:0019843	5851	3	112
GO:0016020	5850	3	112
GO:0050661	5841	3	112
GO:0006351	5819	3	112
GO:0009058	5742	3	112
GO:0016829	5670	3	112
GO:0003887	5551	3	112
GO:0008137	5407	3	112
GO:0016874	5365	3	112
GO:0006355	5340	3	112
GO:0006189	5293	3	112
GO:0003700	5265	3	112
GO:0030976	5126	3	112
GO:0009252	5080	3	112
GO:0006310	4840	3	112
GO:0006457	4815	3	112
GO:0000155	4715	3	112
GO:0043190	4665	3	112
GO:0006265	4625	3	112
GO:0008360	4579	3	112
GO:0003678	4569	3	112
GO:0016757	4497	3	112
GO:0051537	4488	3	112
GO:0003746	4445	3	112
GO:0016853	4302	3	112
GO:0005506	4286	3	112
GO:0051082	4265	3	112
GO:0004222	4261	3	112
GO:0004386	4237	3	112
GO:0002161	4236	3	112
GO:0071555	4096	3	112
GO:0004553	4086	3	112
GO:0005887	3984	3	112
GO:0043565	3973	3	112
GO:0042773	3970	3	112
GO:0048038	3954	3	112
GO:0009097	3873	3	112
GO:0009432	3799	3	112
GO:0031419	3731	3	112
GO:0008408	3719	3	112
GO:0008233	3706	3	112
GO:0007049	3700	3	112
GO:0008237	3688	3	112
GO:0006633	3612	3	112
GO:0016810	3497	3	112
GO:0005694	3456	3	112
GO:0003918	3414	3	112
GO:0016705	3247	3	112
GO:0000105	3245	3	112
GO:0006526	3241	3	112
GO:0016627	3238	3	112
GO:0044205	3058	3	112
GO:0010181	3016	3	112
GO:0016746	2999	3	112
GO:0006289	2983	3	112
GO:0004519	2958	3	112
GO:0009380	2922	3	112
GO:0071949	2906	3	112
GO:0009098	2903	3	112
GO:0046933	2894	3	112
GO:0009236	2893	3	112
GO:0009099	2866	3	112
GO:0030246	2850	3	112
