Annotation	n	depth	station
GO:0016021	2450398	3	78
GO:0005524	1747089	3	78
GO:0005737	1307355	3	78
GO:0046872	1152399	3	78
GO:0005886	890346	3	78
GO:0003677	740940	3	78
GO:0016787	488603	3	78
GO:0016491	453960	3	78
GO:0000287	333489	3	78
GO:0008270	300583	3	78
GO:0022857	292927	3	78
GO:0003824	272654	3	78
GO:0051539	234373	3	78
GO:0016740	219318	3	78
GO:0005525	196420	3	78
GO:0050660	196101	3	78
GO:0009279	190505	3	78
GO:0055085	188323	3	78
GO:0042626	181774	3	78
GO:0032259	174682	3	78
GO:0016887	174364	3	78
GO:0030170	172544	3	78
GO:0003723	171637	3	78
GO:0005975	168916	3	78
GO:0003676	154662	3	78
GO:0006412	151077	3	78
GO:0006260	149415	3	78
GO:0000049	148371	3	78
GO:0006281	141823	3	78
GO:0051287	139834	3	78
GO:0000155	139746	3	78
GO:0003924	136750	3	78
GO:0006355	130622	3	78
GO:0008168	127490	3	78
GO:0020037	126960	3	78
GO:0006099	125661	3	78
GO:0009055	121080	3	78
GO:0051301	119363	3	78
GO:0000166	115412	3	78
GO:0003735	115112	3	78
GO:0003700	114914	3	78
GO:0016301	113506	3	78
GO:0006541	111954	3	78
GO:0051536	111247	3	78
GO:0016020	106614	3	78
GO:0005840	101808	3	78
GO:0004252	98057	3	78
GO:0050661	96122	3	78
GO:0016829	95571	3	78
GO:0009252	95219	3	78
GO:0008483	91377	3	78
GO:0019843	91044	3	78
GO:0006310	89809	3	78
GO:0003887	87786	3	78
GO:0003899	87023	3	78
GO:0008360	86803	3	78
GO:0009058	85211	3	78
GO:0003678	82983	3	78
GO:0016874	82524	3	78
GO:0071555	82012	3	78
GO:0000160	79848	3	78
GO:0007049	79494	3	78
GO:0043190	78861	3	78
GO:0006351	78805	3	78
GO:0006189	77985	3	78
GO:0005887	76869	3	78
GO:0030976	76400	3	78
GO:0005506	75226	3	78
GO:0006313	74204	3	78
GO:0006265	71726	3	78
GO:0051537	70060	3	78
GO:0004803	69937	3	78
GO:0008137	69779	3	78
GO:0008233	69520	3	78
GO:0004386	68503	3	78
GO:0006457	68222	3	78
GO:0004222	67965	3	78
GO:0016853	67170	3	78
GO:0016757	66770	3	78
GO:0003746	66561	3	78
GO:0010181	65746	3	78
GO:0008408	63796	3	78
GO:0043565	63193	3	78
GO:0009432	63182	3	78
GO:0002161	62165	3	78
GO:0015074	62165	3	78
GO:0051082	61945	3	78
GO:0006633	60436	3	78
GO:0016627	58033	3	78
GO:0016705	57570	3	78
GO:0009097	57322	3	78
GO:0048038	56424	3	78
GO:0016810	55972	3	78
GO:0005694	55206	3	78
GO:0071949	54770	3	78
GO:0042597	52853	3	78
GO:0003918	51721	3	78
GO:0042773	50942	3	78
GO:0006526	50550	3	78
GO:0008237	50477	3	78
GO:0004519	50192	3	78
GO:0016620	49630	3	78
GO:0008324	46637	3	78
GO:0006289	46303	3	78
GO:0044205	46199	3	78
GO:0009380	45828	3	78
GO:0000105	45749	3	78
GO:0004553	45670	3	78
GO:0031419	45328	3	78
GO:0006261	45196	3	78
GO:0051213	45079	3	78
GO:0046933	44243	3	78
GO:0003684	44039	3	78
GO:0009089	44007	3	78
GO:0006605	42823	3	78
GO:0009098	42674	3	78
GO:0006096	41983	3	78
GO:0016746	41406	3	78
GO:0004176	41051	3	78
GO:0015031	40736	3	78
GO:0009099	40064	3	78
GO:0008652	39725	3	78
GO:0008236	38935	3	78
GO:0065002	38537	3	78
GO:0046983	38350	3	78
GO:0009073	38132	3	78
GO:0005576	37914	3	78
GO:0030246	37481	3	78
GO:0006400	36581	3	78
GO:0008484	36485	3	78
GO:0006396	36159	3	78
GO:0006537	35948	3	78
GO:0006935	35871	3	78
GO:0009236	35791	3	78
GO:0016226	35300	3	78
GO:0004177	34969	3	78
GO:0007165	34825	3	78
GO:0005509	34762	3	78
GO:0015562	34751	3	78
GO:0009381	34619	3	78
GO:1990077	33751	3	78
GO:0016614	33418	3	78
