Annotation	n	depth	station
GO:0005524	2682266	1	65
GO:0016021	2508705	1	65
GO:0005737	1526532	1	65
GO:0046872	1368038	1	65
GO:0003677	1156388	1	65
GO:0005886	880539	1	65
GO:0006260	724465	1	65
GO:0016787	520405	1	65
GO:0016491	402753	1	65
GO:0000287	393967	1	65
GO:0016887	385581	1	65
GO:0003887	357055	1	65
GO:0008270	332766	1	65
GO:0003824	310535	1	65
GO:0000166	253230	1	65
GO:0006281	249269	1	65
GO:0004748	235497	1	65
GO:0003678	229735	1	65
GO:0022857	228088	1	65
GO:0016740	220206	1	65
GO:0003723	215353	1	65
GO:0051539	214088	1	65
GO:0005525	211407	1	65
GO:0050660	208095	1	65
GO:0006412	201333	1	65
GO:0008408	196450	1	65
GO:0042626	185421	1	65
GO:0055085	185188	1	65
GO:0000049	181657	1	65
GO:0005975	179382	1	65
GO:0006261	178963	1	65
GO:0032259	175610	1	65
GO:0051287	171593	1	65
GO:0030170	167351	1	65
GO:0006310	164295	1	65
GO:0006099	158680	1	65
GO:0003735	155951	1	65
GO:0003924	153570	1	65
GO:0003676	151080	1	65
GO:0006541	144082	1	65
GO:0003899	142374	1	65
GO:0006351	139053	1	65
GO:0051301	136655	1	65
GO:0003697	135651	1	65
GO:0004519	133041	1	65
GO:0005840	125471	1	65
GO:0050661	125332	1	65
GO:0009252	120742	1	65
GO:0009058	117755	1	65
GO:0019843	117546	1	65
GO:0004252	115755	1	65
GO:0020037	113277	1	65
GO:0008168	112774	1	65
GO:0008360	108655	1	65
GO:0016020	107907	1	65
GO:0004386	107734	1	65
GO:0016829	105778	1	65
GO:0006265	105154	1	65
GO:0009055	103540	1	65
GO:0018298	102376	1	65
GO:0016301	100416	1	65
GO:0009279	99622	1	65
GO:0009432	98651	1	65
GO:0006457	97613	1	65
GO:0071555	97516	1	65
GO:0006189	95984	1	65
GO:0051536	94236	1	65
GO:0005506	93209	1	65
GO:0008137	90409	1	65
GO:0016757	89705	1	65
GO:0008233	89303	1	65
GO:0009263	87232	1	65
GO:0016168	86590	1	65
GO:0030976	84554	1	65
GO:0045156	83054	1	65
GO:0009772	82676	1	65
GO:0004527	81268	1	65
GO:0007049	80070	1	65
GO:0006289	79902	1	65
GO:0003918	79832	1	65
GO:0005887	79693	1	65
GO:0051082	78019	1	65
GO:0006633	76626	1	65
GO:0008483	76322	1	65
GO:0043190	75784	1	65
GO:0009380	74489	1	65
GO:0002161	73429	1	65
GO:0048038	72868	1	65
GO:0003746	72087	1	65
GO:0009097	71261	1	65
GO:0006355	69117	1	65
GO:0008094	68211	1	65
GO:0004222	66790	1	65
GO:0051537	66754	1	65
GO:0042773	65605	1	65
GO:0003700	64410	1	65
GO:0039693	63665	1	65
GO:0044205	63292	1	65
GO:0004176	63224	1	65
GO:0006396	62771	1	65
GO:0006526	62652	1	65
GO:0005694	62462	1	65
GO:0005509	60824	1	65
GO:0010181	59933	1	65
GO:0046933	59932	1	65
GO:0009381	58702	1	65
GO:0006605	57715	1	65
GO:0099000	57399	1	65
GO:0016874	57392	1	65
GO:0031419	57076	1	65
GO:0016620	56547	1	65
GO:0009098	56123	1	65
GO:0006096	55990	1	65
GO:0042597	55074	1	65
GO:0065002	55060	1	65
GO:0016853	53010	1	65
GO:0009089	52590	1	65
GO:0042026	51526	1	65
GO:0016746	51415	1	65
GO:0008237	49819	1	65
GO:0016627	49610	1	65
GO:0003684	49419	1	65
GO:0006537	48326	1	65
GO:0000105	48114	1	65
GO:0019028	47844	1	65
GO:0016705	47180	1	65
GO:0006400	46874	1	65
GO:0032549	46163	1	65
GO:0004553	45701	1	65
GO:0009099	45139	1	65
GO:0045261	45017	1	65
GO:0051538	44762	1	65
GO:0016226	44608	1	65
GO:0004088	44588	1	65
GO:0009073	44431	1	65
GO:0051213	44079	1	65
GO:0016114	43649	1	65
GO:0016779	43084	1	65
GO:0008658	42944	1	65
GO:0015031	42791	1	65
GO:0009116	42175	1	65
GO:0071949	42111	1	65
GO:1990077	42013	1	65
GO:0016616	40612	1	65
GO:0009082	40134	1	65
GO:0006231	39319	1	65
GO:0004129	38992	1	65
GO:0046983	38504	1	65
GO:0000155	38182	1	65
GO:0008652	38177	1	65
GO:0003896	37722	1	65
GO:0004375	37238	1	65
GO:0006730	36613	1	65
GO:0017004	36489	1	65
GO:0006629	36341	1	65
GO:0004518	35602	1	65
GO:0006352	35330	1	65
GO:0006353	34249	1	65
GO:0043565	34175	1	65
GO:0003743	34076	1	65
GO:0005198	33994	1	65
GO:0035999	33952	1	65
GO:0016987	33826	1	65
GO:0043022	33743	1	65
GO:0009423	32979	1	65
GO:0009088	32760	1	65
GO:0009435	32673	1	65
GO:0008170	32533	1	65
GO:0008955	32340	1	65
GO:0046961	31669	1	65
GO:0043952	31560	1	65
GO:0006207	31489	1	65
GO:0030145	31344	1	65
GO:0009086	31288	1	65
GO:0070615	31239	1	65
GO:0004826	31224	1	65
GO:0006432	30977	1	65
GO:0008115	30828	1	65
GO:0019076	30805	1	65
GO:0003755	30474	1	65
GO:0046653	30361	1	65
GO:0016810	30078	1	65
GO:0009002	29836	1	65
GO:0030163	29829	1	65
GO:0015930	29713	1	65
GO:0003989	29565	1	65
GO:0006814	29562	1	65
GO:0004822	29453	1	65
GO:0019072	29173	1	65
