Annotation	n	depth	station
GO:0016021	5235888	2	111
GO:0005524	4761123	2	111
GO:0005737	3928922	2	111
GO:0046872	2813219	2	111
GO:0005886	2062716	2	111
GO:0003677	1699364	2	111
GO:0000287	1011350	2	111
GO:0016787	915424	2	111
GO:0016491	872692	2	111
GO:0008270	787834	2	111
GO:0051539	562594	2	111
GO:0022857	556486	2	111
GO:0005525	542774	2	111
GO:0006260	502184	2	111
GO:0016887	501716	2	111
GO:0042626	494166	2	111
GO:0003723	491872	2	111
GO:0006412	483822	2	111
GO:0050660	474062	2	111
GO:0000049	456623	2	111
GO:0030170	449448	2	111
GO:0003824	440043	2	111
GO:0055085	437704	2	111
GO:0006099	410184	2	111
GO:0016740	404406	2	111
GO:0051287	394175	2	111
GO:0006281	392289	2	111
GO:0003924	389794	2	111
GO:0005975	386240	2	111
GO:0003735	377828	2	111
GO:0006541	358283	2	111
GO:0051301	357433	2	111
GO:0032259	331796	2	111
GO:0003676	307702	2	111
GO:0009252	305759	2	111
GO:0005840	301767	2	111
GO:0019843	301608	2	111
GO:0020037	288192	2	111
GO:0008360	286765	2	111
GO:0003899	283557	2	111
GO:0003887	283172	2	111
GO:0000166	282503	2	111
GO:0006351	274025	2	111
GO:0004252	260717	2	111
GO:0009055	255024	2	111
GO:0009432	251989	2	111
GO:0050661	249964	2	111
GO:0071555	249289	2	111
GO:0006189	247566	2	111
GO:0006265	238239	2	111
GO:0016301	235006	2	111
GO:0016829	232757	2	111
GO:0009279	227665	2	111
GO:0008168	226254	2	111
GO:0009058	216025	2	111
GO:0008137	214962	2	111
GO:0016020	212392	2	111
GO:0051082	208272	2	111
GO:0006457	208255	2	111
GO:0003678	207428	2	111
GO:0005887	205730	2	111
GO:0048038	202689	2	111
GO:0043190	202474	2	111
GO:0006633	202219	2	111
GO:0030976	201425	2	111
GO:0007049	197735	2	111
GO:0002161	195581	2	111
GO:0005506	192748	2	111
GO:0009097	191530	2	111
GO:0031676	190756	2	111
GO:0008408	188430	2	111
GO:0008483	186475	2	111
GO:0006289	186246	2	111
GO:0009380	184739	2	111
GO:0003746	184590	2	111
GO:0006310	183953	2	111
GO:0006355	183082	2	111
GO:0016757	182249	2	111
GO:0003918	174836	2	111
GO:0004222	171699	2	111
GO:0010181	166696	2	111
GO:0006526	163061	2	111
GO:0005694	160413	2	111
GO:0044205	159708	2	111
GO:0006261	158397	2	111
GO:0051536	158195	2	111
GO:0042773	153185	2	111
GO:0016620	152280	2	111
GO:0009381	148415	2	111
GO:0046933	148156	2	111
GO:0004176	147856	2	111
GO:0006605	147210	2	111
GO:0008233	146858	2	111
GO:0051537	142820	2	111
GO:0009098	142043	2	111
GO:0006396	141694	2	111
GO:0065002	140440	2	111
GO:0009089	136174	2	111
GO:0003684	133151	2	111
GO:0004386	132535	2	111
GO:0003700	129095	2	111
GO:0006096	127873	2	111
GO:0004748	126594	2	111
GO:0006537	125614	2	111
GO:0009099	124777	2	111
GO:0000105	123008	2	111
GO:0016874	121215	2	111
GO:0016114	120716	2	111
GO:0015979	118337	2	111
GO:0018298	118215	2	111
GO:0042597	117002	2	111
GO:0016627	116572	2	111
GO:0045261	114457	2	111
GO:0051538	113884	2	111
GO:0016853	113191	2	111
GO:0009073	111884	2	111
GO:0005509	111573	2	111
GO:0004088	111149	2	111
GO:0016746	109916	2	111
GO:0004129	109678	2	111
GO:0006400	109158	2	111
GO:0032549	107739	2	111
GO:0004553	105464	2	111
GO:0008652	103817	2	111
GO:0009082	103540	2	111
GO:0008658	103000	2	111
GO:0016226	102487	2	111
GO:0008237	102029	2	111
GO:1990077	101264	2	111
GO:0009116	98220	2	111
GO:0015031	97503	2	111
GO:0046983	96475	2	111
GO:0009236	95512	2	111
GO:0071949	95350	2	111
GO:0004519	94153	2	111
GO:0006730	92299	2	111
GO:0030145	91779	2	111
GO:0000155	91389	2	111
GO:0009088	90183	2	111
GO:0035999	88879	2	111
GO:0009423	88338	2	111
GO:0006353	88103	2	111
GO:0016168	86057	2	111
GO:0043022	85181	2	111
GO:0016705	84089	2	111
GO:0016987	83869	2	111
GO:0030163	83167	2	111
GO:0043952	82662	2	111
GO:0046961	81868	2	111
GO:0008955	81211	2	111
GO:0008115	80793	2	111
