Annotation	n	depth	station
GO:0016021	2286611	1	64
GO:0005524	2144907	1	64
GO:0005737	1754787	1	64
GO:0046872	1212233	1	64
GO:0005886	824161	1	64
GO:0003677	732314	1	64
GO:0000287	454680	1	64
GO:0016787	409625	1	64
GO:0016491	359207	1	64
GO:0008270	356587	1	64
GO:0051539	249400	1	64
GO:0005525	238695	1	64
GO:0016887	236988	1	64
GO:0003723	226449	1	64
GO:0042626	211255	1	64
GO:0006260	210583	1	64
GO:0006412	204469	1	64
GO:0022857	198434	1	64
GO:0000049	197513	1	64
GO:0030170	194109	1	64
GO:0003824	186805	1	64
GO:0050660	184828	1	64
GO:0055085	181213	1	64
GO:0016740	176250	1	64
GO:0006281	176165	1	64
GO:0003924	168959	1	64
GO:0005975	165710	1	64
GO:0051301	161558	1	64
GO:0006099	161507	1	64
GO:0003735	159743	1	64
GO:0032259	159725	1	64
GO:0051287	158706	1	64
GO:0006541	154186	1	64
GO:0003676	145863	1	64
GO:0005840	133093	1	64
GO:0019843	130596	1	64
GO:0009252	129649	1	64
GO:0008360	125125	1	64
GO:0003887	123686	1	64
GO:0003899	122128	1	64
GO:0031676	120715	1	64
GO:0006351	118850	1	64
GO:0000166	115747	1	64
GO:0050661	114925	1	64
GO:0004252	114768	1	64
GO:0009432	111246	1	64
GO:0008168	111014	1	64
GO:0006189	109618	1	64
GO:0071555	109127	1	64
GO:0016829	106175	1	64
GO:0020037	105340	1	64
GO:0006265	100519	1	64
GO:0016301	100087	1	64
GO:0009055	96288	1	64
GO:0051082	94751	1	64
GO:0006457	94415	1	64
GO:0003678	94277	1	64
GO:0008137	92100	1	64
GO:0048038	90923	1	64
GO:0009058	89868	1	64
GO:0006355	89282	1	64
GO:0005887	87580	1	64
GO:0007049	87499	1	64
GO:0004222	86218	1	64
GO:0016020	85490	1	64
GO:0009279	84822	1	64
GO:0006310	84584	1	64
GO:0006633	84225	1	64
GO:0002161	84116	1	64
GO:0008408	83958	1	64
GO:0009097	83548	1	64
GO:0030976	81894	1	64
GO:0008483	81737	1	64
GO:0043190	81110	1	64
GO:0005506	80182	1	64
GO:0006289	79427	1	64
GO:0009380	78598	1	64
GO:0003746	76453	1	64
GO:0051536	76230	1	64
GO:0016757	75476	1	64
GO:0003918	73268	1	64
GO:0006526	71555	1	64
GO:0015979	69916	1	64
GO:0044205	69813	1	64
GO:0006261	69129	1	64
GO:0005694	68858	1	64
GO:0042773	67574	1	64
GO:0004176	67553	1	64
GO:0010181	66771	1	64
GO:0009381	65185	1	64
GO:0046933	65175	1	64
GO:0003684	63542	1	64
GO:0008233	62805	1	64
GO:0006396	62468	1	64
GO:0006096	62231	1	64
GO:0018298	62072	1	64
GO:0051537	60473	1	64
GO:0004386	60195	1	64
GO:0006605	60146	1	64
GO:0009098	59696	1	64
GO:0009236	58567	1	64
GO:0009089	57872	1	64
GO:0065002	57449	1	64
GO:0016114	55634	1	64
GO:0005509	54767	1	64
GO:0016620	53749	1	64
GO:0003700	53647	1	64
GO:0006400	53550	1	64
GO:0009099	53183	1	64
GO:0000105	52490	1	64
GO:0016874	52444	1	64
GO:0006537	51150	1	64
GO:0009073	51009	1	64
GO:0008237	50116	1	64
GO:0008652	49874	1	64
GO:0045261	49373	1	64
GO:0004748	49019	1	64
GO:0051538	48071	1	64
GO:0004088	47571	1	64
GO:0042597	47473	1	64
GO:0071949	46951	1	64
GO:0004553	46492	1	64
GO:0016627	46440	1	64
GO:0016853	46309	1	64
GO:0015995	46265	1	64
GO:0008658	45999	1	64
GO:1990077	45836	1	64
GO:0016746	45737	1	64
GO:0030145	45522	1	64
GO:0032549	45229	1	64
GO:0004519	45167	1	64
GO:0009082	44576	1	64
GO:0000155	43131	1	64
GO:0046983	41800	1	64
GO:0016168	41430	1	64
GO:0009423	41329	1	64
GO:0016226	41322	1	64
GO:0031419	41248	1	64
GO:0015031	40726	1	64
GO:0030163	40605	1	64
GO:0004129	40557	1	64
GO:0009116	40501	1	64
GO:0009088	40327	1	64
GO:0006730	39250	1	64
GO:0019288	37923	1	64
GO:0016987	37584	1	64
GO:0008955	37501	1	64
GO:0006782	36837	1	64
GO:0043022	36164	1	64
GO:0009435	35672	1	64
GO:0016705	35388	1	64
GO:0003743	35159	1	64
GO:0035999	34940	1	64
GO:0017004	34664	1	64
GO:0006353	34597	1	64
GO:0046961	34452	1	64
GO:0006629	34420	1	64
GO:0006207	34255	1	64
GO:0009228	34132	1	64
GO:0003697	34001	1	64
GO:0016779	33184	1	64
GO:0004826	33008	1	64
GO:0006432	32848	1	64
GO:0009245	32813	1	64
GO:0003989	32797	1	64
GO:0003755	32742	1	64
GO:0009086	32722	1	64
GO:0043952	32328	1	64
GO:0004822	31058	1	64
GO:0008236	30720	1	64
GO:0009231	30623	1	64
GO:0006428	30388	1	64
GO:0070006	30246	1	64
GO:0006269	30206	1	64
GO:0017038	30198	1	64
GO:0019877	29642	1	64
GO:0004375	29270	1	64
GO:0019346	29208	1	64
GO:0009002	29170	1	64
GO:0000160	29013	1	64
GO:0050567	28702	1	64
GO:0004642	28627	1	64
GO:0009360	28495	1	64
GO:0015935	28058	1	64
GO:0015930	27870	1	64
GO:0004177	27696	1	64
GO:0016117	27515	1	64
GO:0008115	27455	1	64
GO:0004497	27277	1	64
GO:0004813	27260	1	64
GO:0008654	27060	1	64
GO:0046653	27033	1	64
GO:0003917	26992	1	64
GO:0006419	26988	1	64
GO:0044208	26955	1	64
GO:0015293	26782	1	64
GO:0006094	26735	1	64
GO:0043565	26568	1	64
GO:0008616	26498	1	64
GO:0003994	26413	1	64
GO:0006814	26257	1	64
GO:2001295	26094	1	64
GO:0006749	26078	1	64
GO:0047780	25864	1	64
GO:0016616	25751	1	64
GO:0004356	25701	1	64
GO:0016655	25442	1	64
GO:0008033	25418	1	64
GO:0042026	25319	1	64
GO:0015934	25151	1	64
GO:0016149	24996	1	64
GO:0006402	24913	1	64
GO:0004739	24793	1	64
GO:0006542	24722	1	64
GO:0009060	24608	1	64
GO:0006364	24494	1	64
