Annotation	n	depth	station
GO:0016021	1803937	2	76
GO:0005524	1594965	2	76
GO:0005737	1288631	2	76
GO:0046872	981162	2	76
GO:0005886	727512	2	76
GO:0003677	575158	2	76
GO:0000287	349678	2	76
GO:0016491	349599	2	76
GO:0016787	331651	2	76
GO:0008270	271568	2	76
GO:0022857	208781	2	76
GO:0051539	200640	2	76
GO:0005525	186261	2	76
GO:0003824	184943	2	76
GO:0006412	175102	2	76
GO:0016887	169774	2	76
GO:0050660	160276	2	76
GO:0006260	159923	2	76
GO:0042626	156941	2	76
GO:0000049	155012	2	76
GO:0055085	154124	2	76
GO:0003723	152566	2	76
GO:0030170	150633	2	76
GO:0016740	146581	2	76
GO:0051287	142283	2	76
GO:0006099	138812	2	76
GO:0003735	136957	2	76
GO:0003924	133231	2	76
GO:0006281	125821	2	76
GO:0006541	122263	2	76
GO:0005975	120674	2	76
GO:0032259	120632	2	76
GO:0005840	109045	2	76
GO:0003676	103933	2	76
GO:0051301	101918	2	76
GO:0003899	101282	2	76
GO:0019843	100922	2	76
GO:0006351	98761	2	76
GO:0000166	97277	2	76
GO:0003887	95667	2	76
GO:0020037	90753	2	76
GO:0016829	89606	2	76
GO:0050661	87945	2	76
GO:0008168	85544	2	76
GO:0006189	85273	2	76
GO:0008137	84977	2	76
GO:0016301	83958	2	76
GO:0009252	82809	2	76
GO:0009432	82649	2	76
GO:0004252	79865	2	76
GO:0008360	77725	2	76
GO:0009055	77230	2	76
GO:0030976	76632	2	76
GO:0006265	75696	2	76
GO:0008483	72560	2	76
GO:0009058	70910	2	76
GO:0006457	70332	2	76
GO:0016020	69757	2	76
GO:0048038	69080	2	76
GO:0051536	68600	2	76
GO:0002161	68442	2	76
GO:0009097	68025	2	76
GO:0008408	67781	2	76
GO:0009279	67726	2	76
GO:0071555	67512	2	76
GO:0043190	67389	2	76
GO:0051082	67344	2	76
GO:0005887	66980	2	76
GO:0003678	65673	2	76
GO:0003746	64750	2	76
GO:0006289	64262	2	76
GO:0006633	63968	2	76
GO:0009380	62753	2	76
GO:0005506	61664	2	76
GO:0006355	61451	2	76
GO:0042773	61185	2	76
GO:0006310	59454	2	76
GO:0006526	57569	2	76
GO:0007049	57449	2	76
GO:0016757	57409	2	76
GO:0006261	56577	2	76
GO:0051537	54862	2	76
GO:0009098	54727	2	76
GO:0004222	54301	2	76
GO:0044205	54097	2	76
GO:0003918	53883	2	76
GO:0046933	52800	2	76
GO:0010181	52050	2	76
GO:0005694	51852	2	76
GO:0009381	50449	2	76
GO:0008233	49008	2	76
GO:0000105	47788	2	76
GO:0006605	47362	2	76
GO:0016874	47127	2	76
GO:0003700	47081	2	76
GO:0009089	46553	2	76
GO:0065002	45357	2	76
GO:0009099	45312	2	76
GO:0016620	45169	2	76
GO:0004176	44934	2	76
GO:0016627	44774	2	76
GO:0006396	44148	2	76
GO:0006537	43758	2	76
GO:0042597	43675	2	76
GO:0004386	43437	2	76
GO:0016853	42871	2	76
GO:0003684	42711	2	76
GO:0006096	42636	2	76
GO:0009073	40440	2	76
GO:0032549	39961	2	76
GO:0051538	39933	2	76
GO:0009082	39258	2	76
GO:0016746	39061	2	76
GO:0004748	38463	2	76
GO:0045261	38279	2	76
GO:0004088	37764	2	76
GO:0016114	37022	2	76
GO:0006400	36926	2	76
GO:0008237	36246	2	76
GO:0016226	35766	2	76
GO:0004553	35722	2	76
GO:0016705	35643	2	76
GO:0008652	35588	2	76
GO:0000155	35157	2	76
GO:0004129	34616	2	76
GO:0031419	34519	2	76
GO:0046983	34411	2	76
GO:0009116	33490	2	76
GO:0071949	33397	2	76
GO:0009088	33338	2	76
GO:1990077	32608	2	76
GO:0006730	32220	2	76
GO:0004519	31476	2	76
GO:0035999	31424	2	76
GO:0015031	31235	2	76
GO:0005509	31190	2	76
GO:0009423	31034	2	76
