Annotation	n	depth	station
GO:0016021	2422564	2	64
GO:0005524	2073403	2	64
GO:0005737	1527670	2	64
GO:0046872	1221913	2	64
GO:0005886	794316	2	64
GO:0003677	736603	2	64
GO:0000287	421533	2	64
GO:0016787	420887	2	64
GO:0016491	406044	2	64
GO:0008270	336835	2	64
GO:0016887	263159	2	64
GO:0006260	255284	2	64
GO:0051539	243941	2	64
GO:0005525	240175	2	64
GO:0003824	226736	2	64
GO:0022857	215950	2	64
GO:0006412	208661	2	64
GO:0003723	205268	2	64
GO:0042626	197606	2	64
GO:0050660	195241	2	64
GO:0030170	183307	2	64
GO:0000049	180986	2	64
GO:0016740	179071	2	64
GO:0055085	176224	2	64
GO:0003924	174486	2	64
GO:0003735	166209	2	64
GO:0006281	157757	2	64
GO:0006099	156173	2	64
GO:0051287	155382	2	64
GO:0005975	151682	2	64
GO:0032259	142568	2	64
GO:0003676	141076	2	64
GO:0006541	138448	2	64
GO:0003887	137612	2	64
GO:0000166	137416	2	64
GO:0005840	133179	2	64
GO:0003899	132248	2	64
GO:0020037	131169	2	64
GO:0006351	129044	2	64
GO:0004252	126437	2	64
GO:0019843	126320	2	64
GO:0051301	125241	2	64
GO:0009055	125172	2	64
GO:0008168	102886	2	64
GO:0050661	101728	2	64
GO:0016829	98437	2	64
GO:0006265	97667	2	64
GO:0016301	97553	2	64
GO:0006189	97520	2	64
GO:0051082	96898	2	64
GO:0006457	96781	2	64
GO:0005509	95884	2	64
GO:0003678	95155	2	64
GO:0016020	93198	2	64
GO:0031676	93194	2	64
GO:0009252	93076	2	64
GO:0051536	91291	2	64
GO:0009432	90328	2	64
GO:0008360	89725	2	64
GO:0008137	89307	2	64
GO:0009279	88623	2	64
GO:0006633	86881	2	64
GO:0030976	85472	2	64
GO:0009058	85324	2	64
GO:0048038	84125	2	64
GO:0008408	83309	2	64
GO:0008483	82151	2	64
GO:0003746	81765	2	64
GO:0005506	81734	2	64
GO:0006310	80560	2	64
GO:0006261	79626	2	64
GO:0004222	78492	2	64
GO:0071555	76460	2	64
GO:0006355	75154	2	64
GO:0043190	74877	2	64
GO:0009097	74384	2	64
GO:0002161	73910	2	64
GO:0046933	71875	2	64
GO:0003918	71693	2	64
GO:0004748	70698	2	64
GO:0005887	70629	2	64
GO:0006289	69905	2	64
GO:0009380	68092	2	64
GO:0004176	68024	2	64
GO:0018298	67109	2	64
GO:0016757	65363	2	64
GO:0005694	64923	2	64
GO:0010181	64659	2	64
GO:0007049	64151	2	64
GO:0004386	63945	2	64
GO:0051537	63841	2	64
GO:0008233	63698	2	64
GO:0006526	63260	2	64
GO:0044205	63145	2	64
GO:0042773	62958	2	64
GO:0016874	59268	2	64
GO:0003700	57995	2	64
GO:0016620	57116	2	64
GO:0006396	56540	2	64
GO:0009098	55850	2	64
GO:0015979	55845	2	64
GO:0006096	55785	2	64
GO:0045261	53766	2	64
GO:0042597	52757	2	64
GO:0004519	52587	2	64
GO:0016627	51928	2	64
GO:0009381	51522	2	64
GO:0006537	51440	2	64
GO:0003684	51409	2	64
GO:0006605	51294	2	64
GO:0009099	50420	2	64
GO:0016168	49848	2	64
GO:0016746	48624	2	64
GO:0031419	48399	2	64
GO:0008237	48363	2	64
GO:0065002	48262	2	64
GO:0009089	48144	2	64
GO:0032549	47356	2	64
GO:0016853	47261	2	64
GO:0071949	46282	2	64
GO:0051538	45809	2	64
GO:0004088	45441	2	64
GO:0000105	44860	2	64
GO:0004553	44742	2	64
GO:0016114	44548	2	64
GO:0006400	44479	2	64
GO:0009073	44320	2	64
GO:0004129	43946	2	64
GO:0016705	43506	2	64
GO:0009082	42934	2	64
GO:0008652	41477	2	64
GO:0046961	41390	2	64
GO:0030163	41040	2	64
GO:0003697	41031	2	64
GO:0015031	40215	2	64
GO:0016226	39762	2	64
GO:0003743	39116	2	64
GO:0009116	39096	2	64
GO:0046983	38737	2	64
GO:0030145	38364	2	64
GO:1990077	37824	2	64
