Annotation	n
GO:0016818	755586
GO:0004160	747626
GO:0004540	747137
GO:0071973	742237
GO:0008177	741638
GO:0006813	737108
GO:0001522	734824
GO:0008080	731855
GO:0003896	728943
GO:0016117	726025
GO:0015232	725884
GO:0000917	725777
GO:0009317	721366
GO:0006546	721094
GO:0015658	719777
GO:0003883	719177
GO:0004815	715376
GO:0042450	713004
GO:0006268	712440
GO:0003995	710780
GO:0006422	709585
GO:0004360	708293
GO:0006313	707946
GO:0019464	707228
GO:0016831	706792
GO:0004672	704271
GO:0045156	696026
GO:0016597	694902
GO:1901137	689647
GO:0006098	682836
GO:0001123	681713
GO:0004355	680890
GO:0050242	679959
GO:0004824	678508
GO:0019867	675494
GO:0009408	669181
GO:0008610	668853
GO:0015562	667175
GO:0008661	665150
GO:0006430	663328
GO:0009772	658581
GO:0032153	658508
GO:0004013	653984
GO:0016765	651813
GO:0030955	650910
GO:0046677	647997
GO:0009982	647880
GO:0034605	647009
GO:0004825	643883
GO:0004802	643094
GO:0006515	642953
GO:0016743	639510
GO:0005315	639070
GO:0016151	633166
GO:0016747	631181
GO:0052865	630006
GO:0008854	629314
GO:0016773	628326
GO:0050560	628205
GO:0006431	623320
GO:0004148	620708
GO:0000716	619269
GO:0008134	616175
GO:0045727	616003
GO:0000902	610757
GO:0007059	608996
GO:0015940	607034
GO:0022900	606568
GO:0003857	606420
GO:0004326	605985
GO:0004827	605929
GO:0003922	595557
GO:0046654	595182
GO:0006275	589576
GO:0004180	589552
GO:0003911	588859
GO:0009190	588202
GO:0004372	587330
GO:0006424	585529
GO:0019264	584816
GO:0006433	584598
GO:0035596	584005
GO:0000271	583710
GO:0008750	583231
GO:0035556	581710
GO:0016462	580960
GO:0002949	575687
GO:0006535	575439
GO:0004450	575125
GO:0006006	574416
GO:0008863	573932
GO:0004333	572429
GO:0046855	571345
GO:0009234	570245
GO:0050566	569073
GO:0004044	568967
GO:0050897	568377
GO:0004018	565130
GO:0042158	564679
GO:0004803	561980
GO:0016783	561830
GO:0042910	560216
GO:0006270	558518
GO:0016868	557158
GO:0016209	552671
GO:0070626	550524
GO:0008964	549601
GO:0004471	548874
GO:0006635	548378
GO:0004478	547931
GO:0004019	547688
GO:0042558	546666
GO:0006556	546574
GO:0008173	546305
GO:0032977	545724
GO:0071897	544032
GO:0004151	543762
GO:0006108	542754
GO:0044237	541583
GO:0004072	541063
GO:0050136	537697
GO:0003688	536571
GO:0016811	536307
GO:0015035	535083
GO:0043165	534898
GO:0004818	530592
GO:0004181	529206
GO:0048500	528951
GO:0008312	527129
GO:0008705	526044
GO:0005198	525212
GO:0006119	523013
GO:0008186	522768
GO:0045263	522526
GO:0009249	522076
GO:0004817	521430
GO:0008170	519362
GO:0006106	518078
GO:0045239	517174
GO:0016791	512808
GO:0015299	511699
GO:0006423	508907
GO:0004399	506076
GO:0006231	498321
GO:0006564	498127
GO:0030956	495649
GO:0004634	493854
GO:0006817	493370
GO:0004821	493349
GO:0000015	492989
GO:0008643	489367
GO:0009263	488647
GO:0016851	488020
GO:0003937	484807
GO:0004096	484572
GO:0015990	483942
GO:0004332	481895
GO:0000027	480714
GO:0042744	479999
GO:0004643	479351
GO:0006427	476033
GO:0006783	475832
GO:0008615	474784
GO:0008963	473073
GO:0004831	473000
GO:0006164	471556
GO:0004049	470725
GO:0043335	467612
GO:0009986	466091
GO:0140078	464623
GO:0004075	463923
GO:0009376	461129
GO:0042777	460189
GO:0070475	456370
GO:0106029	455983
GO:0004474	455566
GO:0004107	454614
GO:0051258	453049
GO:0003952	452689
GO:0006935	450147
GO:0003849	448167
GO:0006437	448016
GO:0004828	447377
GO:0006107	447034
GO:0019829	445189
GO:0008686	443825
GO:0003951	443795
GO:0004056	443101
GO:0003862	442397
GO:0006464	442161
GO:0008795	441837
GO:0004055	441464
GO:0008121	441085
GO:0006631	440490
GO:0006434	440090
GO:0004749	433973
GO:0009165	431164
GO:0009522	427127
GO:0004455	427086
GO:0004830	426682
GO:0006534	424482
GO:0008966	424300
GO:0045892	424091
GO:0016879	422214
GO:0004791	421308
GO:0030151	420911
GO:0009523	420092
GO:0046429	420032
GO:0009117	418999
GO:0006436	418075
GO:0006235	417745
GO:0004070	416726
GO:0016410	410697
GO:0009378	410693
GO:0008295	410295
GO:0016798	409041
GO:0097056	408336
GO:0030288	407509
GO:0005978	406872
GO:0019646	405902
GO:0009007	405719
GO:0015095	404731
GO:0004109	404236
GO:0006166	404044
GO:0006071	402491
GO:0003961	401514
