Annotation	n
GO:0004362	87158
GO:0015114	86909
GO:0008146	86799
GO:0042908	86666
GO:0044689	86665
GO:0090529	86290
GO:0010285	86235
GO:0008441	86151
GO:0016758	85889
GO:0005960	85666
GO:0003886	85576
GO:0005976	85519
GO:0016668	84979
GO:0010498	84808
GO:0008756	84728
GO:0007018	84639
GO:0000502	84461
GO:0008881	84449
GO:0000967	84407
GO:0043828	84220
GO:0019932	83117
GO:0048529	83046
GO:0010124	82944
GO:0036381	82688
GO:0017148	82637
GO:0004170	82609
GO:0018845	82588
GO:0090071	82542
GO:0000104	82219
GO:0046081	82147
GO:0009083	81068
GO:0033320	80975
GO:0004855	80957
GO:0008865	80954
GO:0004397	80921
GO:0033362	80672
GO:0047865	80648
GO:0009916	80623
GO:0015633	80539
GO:0046688	80477
GO:0043815	80473
GO:0004526	80251
GO:0032508	79773
GO:0039686	79710
GO:0061799	79548
GO:0006084	79364
GO:0005249	79232
GO:0047547	78388
GO:0004475	78067
GO:0019518	78028
GO:0006304	77982
GO:0008831	77596
GO:0006282	77551
GO:0002134	77308
GO:0005764	76926
GO:0008890	76890
GO:0030234	76811
GO:0004536	76802
GO:0046026	76667
GO:0034227	76651
GO:0004604	76419
GO:0070567	76187
GO:0006559	76136
GO:0018741	76027
GO:0018909	76027
GO:1902600	75805
GO:0097163	75800
GO:0003841	75709
GO:0004421	75053
GO:0004658	74870
GO:0050480	74817
GO:0016866	74803
GO:0004636	74705
GO:0042619	74688
GO:0019516	74392
GO:0008962	74224
GO:0008821	74216
GO:0000738	74186
GO:0004407	74023
GO:0010142	73868
GO:0016817	73683
GO:0050421	73329
GO:0009143	73289
GO:0006729	73261
GO:0003954	73197
GO:0009013	73192
GO:0004131	73159
GO:0102480	73130
GO:0008076	73019
GO:0008124	72638
GO:0004806	72505
GO:0031167	72443
GO:0051073	72359
GO:0019213	72275
GO:0006796	71969
GO:0004587	71905
GO:0016857	71860
GO:0050155	71848
GO:0043864	71563
GO:0004721	71413
GO:0001680	71204
GO:0015103	71150
GO:0008143	71044
GO:0008986	71042
GO:0009374	70801
GO:0004125	70640
GO:0004476	70603
GO:0050530	70226
GO:0008818	70189
GO:0002100	70160
GO:0004652	69917
GO:0030788	69827
GO:0008452	69812
GO:0050577	69714
GO:0017003	69666
GO:0042351	69663
GO:0016790	69560
GO:0034038	69351
GO:0009431	69347
GO:0016157	69236
GO:0009018	69098
GO:0008974	68872
GO:0042245	68807
GO:0071704	68543
GO:0004930	68390
GO:0004141	68323
GO:0004037	68142
GO:0070818	67727
GO:0004783	67514
GO:0008381	67477
GO:0003908	67161
GO:0030429	67140
GO:0004645	66993
GO:0019303	66992
GO:0009276	66962
GO:0004797	66574
GO:0016715	66562
GO:0005743	66425
GO:0016717	66397
GO:0004368	66189
GO:0019379	65738
GO:0015105	65197
GO:0033739	64960
GO:0008453	64776
GO:0019805	64458
GO:0034354	64357
GO:0043420	64348
GO:0006760	64341
GO:0044206	64338
GO:0031361	64244
GO:0016805	64080
GO:0008569	63905
GO:0008710	63758
GO:0018786	63696
GO:0008289	63479
GO:0030789	63412
GO:0016855	63323
GO:0016836	63189
GO:0006188	63142
GO:0030409	63086
GO:0005542	62576
GO:0033958	62499
GO:0003847	62155
GO:0003870	61978
GO:0045158	61962
GO:0003964	61794
GO:0006879	61714
GO:0019136	61609
GO:0008923	61545
GO:0004022	61532
GO:0030286	61299
GO:0006206	61240
GO:0008442	61038
GO:0052699	60965
GO:0050821	60857
GO:0006323	60657
GO:0008984	60393
GO:0006511	60232
GO:0004337	60150
GO:0001682	60122
GO:0005381	59987
GO:0019239	59933
GO:0033573	59902
GO:0009450	59648
GO:0019439	59487
GO:0004452	59450
GO:0015221	59250
GO:0019285	59243
GO:0004866	59238
GO:0003988	59076
GO:0071470	58875
GO:0016993	58803
GO:0005615	58595
GO:0046408	58575
GO:0035438	58412
GO:0061981	58386
GO:0097053	58386
GO:0004713	58202
GO:0004809	58178
GO:0006826	57824
GO:0050278	57666
GO:0042651	57497
GO:0008902	57493
GO:0005739	57488
GO:0006064	57440
GO:1901170	57270
GO:0004335	57234
GO:0008914	57195
GO:0001681	57051
GO:0050498	56997
GO:0097588	56827
GO:0046857	56763
GO:0009045	56713
GO:0008940	56645
GO:0006213	56582
GO:0047661	56547
GO:0042549	56526
GO:0009691	56213
GO:0030975	55932
GO:0009405	55435
GO:0042277	55401
GO:0060274	55388
GO:0006069	55287
GO:0004392	55069
GO:0030254	55005
GO:0006788	54996
GO:0004788	54984
GO:0009421	54912
GO:0043590	54837
GO:0016154	54819
GO:0008999	54761
GO:0004161	54411
GO:0015385	54274
GO:0009267	54273
GO:0004731	54103
GO:0030257	53890
GO:0098024	53760
GO:0006378	53737
GO:0009379	53586
GO:0004496	53578
GO:0004810	53249
GO:0018364	53233
GO:0036009	53233
GO:0008802	53176
GO:0016889	53005
GO:0003959	52986
GO:0006091	52891
GO:0043115	52872
GO:0004411	52765
GO:0008830	52761
GO:0008061	52746
GO:0006567	52726
GO:0015986	52631
GO:0047553	52513
GO:0070481	52428
GO:0070966	52421
GO:0071025	52420
GO:0051479	52386
GO:0050531	52273
GO:0030337	52143
GO:0045493	51699
GO:0019807	51513
GO:0009085	51447
GO:0033539	51386
GO:0010236	51344
GO:0090560	51185
GO:0015109	51146
GO:0004466	51136
GO:0003682	50879
GO:0015204	50878
GO:0016567	50758
GO:0004164	50629
GO:0050080	50584
GO:0017057	50499
GO:0004615	50408
GO:0004342	50348
GO:0106321	50291
GO:0106322	50291
GO:0046553	50274
GO:0008833	50239
GO:0047355	50164
GO:0006570	50098
GO:0008108	49963
GO:0047294	49654
GO:0004833	49479
GO:0033499	49470
GO:0016625	49465
GO:0045281	49318
GO:0003868	49284
GO:0006388	49206
GO:0052689	49202
GO:0003747	49154
GO:0006487	49103
GO:0102521	49002
GO:0003830	48999
GO:0000036	48854
GO:0005992	48810
GO:0004146	48732
GO:0006474	48288
GO:0015419	48246
GO:0140306	48119
GO:0070038	47770
GO:0019062	47488
GO:0045301	47430
GO:0016163	47312
GO:0042121	47264
GO:0004366	47180
GO:0030412	47132
GO:1990961	47108
GO:0102317	46939
GO:0070069	46863
GO:0019344	46801
GO:0016835	46590
GO:0046406	46545
GO:0047134	46462
GO:0016994	46361
GO:0004343	46131
GO:0046348	45994
GO:0008430	45920
GO:0097175	45909
GO:0018697	45855
GO:0008692	45808
GO:0015128	45792
GO:0097171	45772
GO:0019073	45697
GO:0006672	45684
GO:0034784	45666
GO:0047727	45666
GO:0070417	45662
GO:0031515	45625
GO:0009853	45617
GO:0016223	45600
GO:0098009	45580
GO:0009428	45424
GO:0004311	45363
GO:0050385	45338
GO:0102420	45338
GO:0019146	45305
GO:0016429	45159
GO:0005471	45023
GO:0003834	44975
GO:0010436	44966
GO:0016121	44966
GO:0044826	44789
GO:0075713	44789
GO:0004308	44725
GO:0008241	44583
GO:0008448	44453
GO:0019419	44155
GO:0019773	44060
GO:0045893	43955
GO:0016672	43924
GO:0044238	43891
GO:0008682	43774
GO:0015343	43592
GO:0031992	43591
GO:0004573	43434
GO:0046025	43272
GO:0016682	43107
GO:0004365	43103
GO:0043878	43062
GO:0010038	42977
GO:0051989	42974
GO:0009274	42887
GO:0035550	42836
GO:0008535	42780
GO:0005794	42728
GO:0051604	42711
GO:0008832	42696
GO:0050617	42678
GO:0008927	42673
GO:0008880	42589
GO:0036424	42562
GO:0036425	42562
GO:0050532	42559
GO:0004848	42526
GO:0004460	42509
GO:0000210	42491
GO:0004401	42367
GO:0000179	42277
GO:2001070	42259
GO:0003863	42218
GO:0008888	42059
GO:0009020	41948
GO:0003941	41917
GO:0006545	41774
GO:0052717	41698
GO:0019012	41596
GO:0008800	41588
GO:0031514	41547
GO:0003877	41532
GO:0102029	41516
GO:0002101	41433
GO:0009924	41405
GO:1990465	41405
GO:0008772	41200
GO:0102009	41043
GO:0004768	41027
GO:0050618	41014
GO:0008797	40878
GO:0052665	40637
GO:0002938	40627
GO:0003839	40598
GO:0106350	40551
GO:0033014	40470
GO:0019700	40353
GO:0050492	40344
GO:0004560	40301
GO:0015112	40290
GO:0003826	40284
GO:0008746	40257
GO:0017009	40200
GO:0090729	40194
GO:0043171	40151
GO:0008804	40113
GO:0047631	40075
GO:0070009	39946
GO:0043799	39822
GO:0003905	39809
GO:0006562	39770
GO:0046474	39453
GO:0016706	39409
GO:0008725	39383
GO:0031234	39373
GO:0005815	39178
GO:0031012	39167
GO:0046992	38969
GO:0004132	38854
GO:0099002	38780
GO:0106141	38763
GO:0043103	38694
GO:0005730	38539
GO:0036221	38499
GO:0043215	38334
GO:1900753	38334
GO:0102040	38261
GO:0019350	38218
GO:0016799	38096
GO:0008995	38083
GO:0030600	38040
GO:0052591	38025
GO:0043137	37958
GO:0030366	37957
GO:0061712	37855
GO:0047388	37754
GO:0000408	37741
GO:0008107	37727
GO:0004619	37680
GO:0015093	37638
GO:0033786	37593
GO:0030488	37508
GO:0000213	37373
GO:0046428	37261
GO:0061603	37232
GO:0015036	37167
GO:0034765	37159
GO:0050620	37064
GO:0008834	37052
GO:0016767	36947
GO:0004035	36909
GO:0009325	36879
GO:0015689	36814
GO:0019318	36783
GO:0046294	36750
GO:0071793	36597
GO:0016192	36525
GO:0004422	36515
GO:0004157	36405
GO:0071268	36400
GO:0006302	36356
GO:0006013	36163
GO:0004559	36151
GO:0006203	36119
GO:0009395	36059
GO:0004729	36015
GO:0006655	36004
GO:0004165	35986
GO:0004856	35946
GO:0018189	35925
GO:0009289	35893
GO:0050188	35849
GO:0004555	35750
GO:0050043	35671
GO:0006223	35456
GO:0047789	35445
GO:0052657	35386
GO:0033890	35381
GO:0005991	35274
GO:0016036	35228
GO:0047936	35105
GO:0019774	35040
GO:0009027	34600
GO:0042126	34589
GO:0015098	34266
GO:0003714	34250
GO:0004034	34092
GO:0031388	33944
GO:0016652	33890
GO:0009308	33862
GO:0043748	33714
GO:0050319	33702
GO:0006004	33602
GO:0030694	33468
GO:0019941	33464
GO:0035598	33456
GO:0065003	33314
GO:0005777	33239
GO:0008967	33218
GO:0043880	33065
GO:0016158	33005
GO:0000820	32882
GO:0009298	32816
GO:0009032	32803
GO:0008675	32792
GO:0004456	32785
GO:0009255	32778
GO:0030030	32751
GO:0015888	32530
GO:0005244	32424
GO:0047400	32357
GO:0019627	32338
GO:0008218	32285
GO:0070967	32251
GO:0008803	32188
GO:0001407	32091
GO:0019619	32075
GO:0047343	32056
GO:0008131	32035
GO:0009394	32028
GO:0008820	32007
GO:0036428	32006
GO:0036429	32006
GO:0008712	31883
GO:0045329	31856
GO:0005384	31701
GO:0042282	31665
GO:0043908	31645
GO:0106026	31645
GO:0043802	31595
GO:0008305	31583
GO:0006212	31574
GO:0048307	31566
GO:0033608	31554
GO:0030245	31540
GO:0046034	31533
GO:0008990	31480
GO:0055052	31270
GO:0004113	31155
GO:0008664	31152
GO:0006740	31129
GO:0016603	31094
GO:0017186	31083
GO:0003884	31016
GO:0018492	30914
GO:1901891	30806
GO:0030494	30795
GO:0043814	30777
GO:0030244	30666
GO:0097173	30560
GO:0009426	30501
GO:0032196	30326
GO:0006772	30277
GO:0030026	30189
GO:0015794	30099
GO:0008670	29900
GO:0008982	29737
GO:0019898	29734
GO:0045484	29726
GO:0003885	29646
GO:0106351	29629
GO:0106352	29629
GO:0015851	29624
GO:0043039	29599
GO:0008373	29546
GO:0015276	29452
GO:0102043	29423
GO:0009294	29269
GO:0016980	29210
GO:0032264	29132
GO:0089714	29101
GO:0004030	29031
GO:0051262	28999
GO:0018826	28979
GO:0050281	28977
GO:0006085	28959
GO:0008959	28933
GO:0004057	28796
GO:0051266	28780
GO:0036125	28565
GO:0043683	28551
GO:0004808	28481
GO:0008251	28463
GO:0045278	28461
GO:0009323	28384
GO:0036402	28380
GO:0016405	28331
GO:0102481	28176
GO:0005835	28167
GO:0016714	28159
GO:0000723	28148
GO:0004754	28121
GO:0050334	28098
GO:0004730	28069
GO:0008488	27857
GO:0017187	27857
GO:0019835	27731
GO:0019628	27607
GO:0033812	27526
GO:0016998	27508
GO:0004516	27481
GO:0016272	27304
GO:0004842	27241
GO:0097363	27187
GO:0042780	27158
GO:0050066	27156
GO:0016852	27154
GO:0050032	27064
GO:0036070	26952
GO:0009584	26927
GO:0015097	26925
GO:0008942	26899
GO:0006047	26858
GO:0046930	26807
GO:0003865	26759
GO:0033785	26719
GO:0052913	26715
GO:0008202	26679
GO:0071596	26625
GO:0004143	26588
GO:0008973	26496
GO:0043094	26496
GO:0006694	26485
GO:0019428	26473
GO:0051997	26469
GO:0004001	26228
GO:0016720	26203
GO:0009427	26202
GO:0007194	26152
GO:0006367	26129
GO:0008017	25989
GO:0061024	25956
GO:0043773	25948
GO:0047304	25945
GO:0004348	25897
GO:0034257	25871
GO:0004613	25758
GO:0006522	25584
GO:0070122	25563
GO:0047943	25547
GO:0008696	25531
GO:0052837	25362
GO:0033611	25155
GO:0017001	25152
GO:0000139	25102
GO:0106306	25061
GO:0106307	25061
GO:0006557	25013
GO:0003854	24983
GO:0036361	24849
GO:0008743	24673
GO:0046177	24605
GO:0016070	24322
GO:0003998	24306
GO:0005789	24229
GO:0009056	24194
GO:0006543	24178
GO:0036054	24153
GO:0036055	24153
GO:0000786	24124
GO:0005856	24047
GO:0008609	24032
GO:0005516	23966
GO:0008336	23912
GO:0015113	23866
GO:0050343	23779
GO:0050568	23748
GO:0008838	23701
GO:0046113	23700
GO:0043721	23624
GO:0005681	23617
GO:0000398	23499
GO:0043856	23456
GO:0008611	23385
GO:0043740	23370
GO:0004722	23332
GO:0016896	23320
GO:0007017	23315
GO:0004849	23224
GO:0016539	23221
GO:0018738	23216
GO:0032981	23205
GO:0008732	23123
GO:0004714	23031
GO:0019544	23030
GO:0019545	23029
GO:0019825	22991
GO:0018551	22878
GO:0009496	22854
GO:0043139	22830
GO:0034979	22804
GO:0015774	22760
GO:0008758	22737
GO:0030599	22710
GO:0042545	22710
GO:0006878	22666
GO:0000403	22630
GO:0045027	22621
GO:0045330	22614
GO:0008892	22571
GO:0015891	22526
GO:0047869	22380
GO:0016838	22332
GO:0008679	22288
GO:0044249	22168
GO:0005996	22039
GO:0033468	22017
GO:0036422	21947
GO:0008138	21942
GO:0015129	21783
GO:0046416	21676
GO:0045227	21675
GO:0005388	21651
GO:0000746	21615
GO:0006307	21608
GO:0002128	21553
GO:1990939	21536
GO:0005451	21524
GO:0043891	21522
GO:0008775	21515
GO:0008791	21391
GO:0005261	21353
GO:0006147	21343
GO:0047324	21318
GO:0009311	21251
GO:0002097	21185
GO:0047728	21060
GO:0050485	21047
GO:0033973	21008
GO:0033178	20993
GO:0031977	20992
GO:0010206	20941
GO:0005980	20902
GO:0047985	20807
GO:0015451	20777
GO:0016279	20773
GO:0061077	20695
GO:0004760	20682
GO:0008767	20550
GO:0047443	20537
GO:0004126	20494
GO:0006482	20488
GO:0015558	20326
GO:1902604	20326
GO:0003913	20314
GO:0004647	20251
GO:0047419	20249
GO:0009411	20238
GO:0016618	20207
GO:0006572	20168
GO:0018277	20114
GO:0002953	20093
GO:0034386	20084
GO:0009297	20038
GO:0030077	20033
GO:0008785	19971
GO:0008700	19796
GO:0016744	19762
GO:0003916	19694
GO:0008794	19604
GO:0043870	19575
GO:0005811	19544
GO:0003957	19518
GO:0019156	19508
GO:0006574	19453
GO:0000250	19428
GO:0042300	19428
GO:0050126	19324
GO:0033711	19284
GO:0052624	19279
GO:0006210	19246
GO:0017113	19243
GO:0016298	19189
GO:0030420	19147
GO:0008413	19090
GO:0042742	18958
GO:0052618	18903
GO:0045340	18887
GO:0047844	18839
GO:0022625	18807
GO:0000302	18695
GO:0000041	18679
GO:0006334	18508
GO:0006518	18371
GO:0051775	18343
GO:0047100	18178
GO:0009081	18032
GO:0006665	18021
GO:0008428	17984
GO:0051252	17982
GO:0003975	17978
GO:0019746	17977
GO:0080061	17975
GO:0033732	17956
GO:0005997	17831
GO:0004133	17810
GO:0120159	17774
GO:0008968	17704
GO:0043107	17650
GO:0004556	17606
GO:0004334	17587
GO:0004122	17564
GO:0016844	17413
GO:2001061	17300
GO:0046556	17290
GO:0004115	17265
GO:0008983	17254
GO:0080019	17209
GO:0019143	17197
GO:0003796	17116
GO:0052915	17096
GO:0008816	17085
GO:0019343	17077
GO:0052593	16991
GO:0052594	16991
GO:0052595	16991
GO:0052596	16991
GO:0050114	16958
GO:0015369	16914
GO:0008901	16804
GO:0031267	16732
GO:0007229	16601
GO:0015439	16594
GO:0043365	16577
GO:0042168	16536
GO:0047474	16516
GO:0033971	16458
GO:0030247	16405
GO:0004843	16372
GO:0000030	16345
GO:0080109	16309
GO:0043776	16238
GO:0050023	16208
GO:0006528	16166
GO:0043744	16166
GO:0042802	16126
GO:0008825	15796
GO:0048511	15772
GO:0030697	15573
GO:0008810	15565
GO:0009015	15527
GO:0015144	15429
GO:0000309	15400
GO:0004084	15382
GO:0004144	15335
GO:0034775	15289
GO:0016152	15268
GO:0015068	15215
GO:0015209	15210
GO:0046373	15198
GO:0103025	15166
GO:0050112	15154
GO:0047475	15119
GO:0004850	15073
GO:0018454	15049
GO:0070819	15011
GO:0004493	14981
GO:0006082	14981
GO:0016579	14955
GO:0009347	14940
GO:0045312	14842
GO:0042413	14826
GO:0019594	14823
GO:0050310	14747
GO:0019432	14745
GO:0043824	14710
GO:0048029	14649
GO:0051259	14519
GO:0010795	14517
GO:0033980	14482
GO:0050787	14429
GO:0009243	14400
GO:0019281	14321
GO:0047988	14312
GO:0030253	14244
GO:0030256	14244
GO:0003955	14234
GO:0009448	14228
GO:0015976	14209
GO:0050401	14199
GO:0004502	14177
GO:0016872	14136
GO:0019262	14129
GO:0045901	14105
GO:0003986	14088
GO:0006083	14088
GO:0009975	14067
GO:0005085	14004
GO:0042925	14002
GO:0032440	13978
GO:0045905	13976
GO:0008776	13934
GO:0004322	13930
GO:0046782	13925
GO:0009016	13889
GO:0003779	13855
GO:0008867	13812
GO:0050353	13811
GO:0052861	13778
GO:0062193	13756
GO:0004564	13753
GO:0005998	13599
GO:0031176	13581
GO:0008521	13579
GO:0097266	13536
GO:0009061	13493
GO:0032923	13451
GO:0004021	13433
GO:0005324	13425
GO:0004650	13387
GO:0046982	13361
GO:0032955	13359
GO:0045127	13253
GO:0008813	13152
GO:0047590	13117
GO:0043727	13011
GO:0034220	12955
GO:0004458	12921
GO:0070205	12846
GO:0102919	12763
GO:0016701	12737
GO:0042326	12722
GO:0003867	12680
GO:0016760	12624
GO:0008417	12571
GO:0006259	12523
GO:0004757	12505
GO:0045490	12487
GO:0005200	12457
GO:0018659	12426
GO:0004571	12386
GO:0070041	12377
GO:0017065	12342
GO:0016837	12311
GO:0003859	12258
GO:0016032	12250
GO:0004419	12246
GO:0017168	12243
GO:0009226	12169
GO:0005783	12124
GO:0008653	12102
GO:0019083	12083
GO:0008694	11991
GO:0004112	11986
GO:0000334	11969
GO:0009539	11916
GO:0000310	11909
GO:0006793	11905
GO:0004068	11899
GO:0019740	11876
GO:0031235	11783
GO:0046890	11780
GO:0031297	11712
GO:0047794	11700
GO:0036310	11688
GO:0061928	11636
GO:0047570	11627
GO:0006523	11565
GO:0003939	11515
GO:0006824	11481
GO:0017178	11473
GO:0003950	11455
GO:0030674	11407
GO:0003690	11345
GO:0008827	11325
GO:1901023	11285
GO:0046944	11242
GO:0008869	11202
GO:0018480	11170
GO:0070037	11146
GO:0004312	11118
GO:0017056	11110
GO:0030596	11053
GO:0007264	11047
GO:0006109	11024
GO:0005254	11004
GO:0008112	10865
GO:0019148	10841
GO:0050355	10839
GO:0051015	10825
GO:0006506	10823
GO:0009486	10792
GO:0004402	10751
GO:0043916	10683
GO:0052821	10683
GO:0052822	10683
GO:0071771	10611
GO:0006406	10524
GO:0016755	10494
GO:0019569	10490
GO:0008660	10401
GO:0008774	10397
GO:1904380	10336
GO:1904382	10280
GO:0051473	10266
GO:0009310	10262
GO:0016615	10256
GO:0031469	10199
GO:0102573	10191
GO:0008949	10190
GO:0032297	10167
GO:0008119	10163
GO:0003858	10160
GO:0004726	10141
GO:0019491	10114
GO:0047589	10075
GO:0008465	10030
GO:0044874	9941
GO:0030677	9933
GO:0044211	9931
GO:0035731	9844
GO:0071111	9823
GO:0043639	9805
GO:0004169	9775
GO:0004506	9771
GO:0042314	9680
GO:0016920	9655
GO:0009168	9646
GO:0018578	9619
GO:0015611	9575
GO:0005355	9529
GO:0015535	9525
GO:0016712	9500
GO:0005354	9490
GO:0009337	9390
GO:0042952	9381
GO:0050520	9371
GO:0004484	9357
GO:0006754	9342
GO:0035552	9320
GO:0032049	9313
GO:0015914	9308
GO:0016849	9304
GO:0008559	9294
GO:0016899	9255
GO:0047733	9249
GO:0050270	9246
GO:0003689	9233
GO:0009132	9198
GO:0004598	9163
GO:0050578	9145
GO:0030745	9142
GO:0043461	9102
GO:0046952	9099
GO:0030255	9096
GO:0008894	9080
GO:0090614	9024
GO:0016989	8996
GO:0003933	8964
GO:0008920	8954
GO:0044038	8950
GO:0030416	8924
GO:0042888	8922
GO:0008380	8920
GO:0008876	8912
GO:0008908	8887
GO:0047360	8878
GO:0005977	8871
GO:0050194	8849
GO:0019417	8848
GO:0016669	8845
GO:0009740	8842
GO:0004341	8823
GO:0006739	8817
GO:0017040	8770
GO:0102121	8744
GO:0061630	8731
GO:0032150	8726
GO:0042555	8726
GO:0001530	8721
GO:0016274	8714
GO:0046514	8713
GO:0005923	8691
GO:0016328	8685
GO:0008808	8652
GO:0030126	8569
GO:0004683	8526
GO:0008374	8504
GO:0042717	8464
GO:0018784	8415
GO:0034194	8399
GO:0004671	8396
GO:0043959	8393
GO:0050083	8393
GO:0004435	8392
GO:0052881	8370
GO:0047753	8315
GO:0019252	8304
GO:0005267	8272
GO:0019154	8266
GO:0009765	8257
GO:0009305	8233
GO:0008970	8223
GO:0008930	8196
GO:0017070	8159
GO:0047808	8066
GO:0016459	8063
GO:0031966	8046
GO:0004319	8043
GO:0008673	8042
GO:0018822	8038
GO:0046487	8009
GO:0034618	8003
GO:0009042	8001
GO:0004065	7995
GO:0052692	7983
GO:0016861	7967
GO:0005643	7906
GO:0015002	7887
GO:1990663	7880
GO:0031625	7860
GO:0009882	7838
GO:0036104	7832
GO:0047646	7827
GO:0008913	7810
GO:0050462	7801
GO:0016750	7780
GO:0005852	7747
GO:0006888	7722
GO:0016795	7714
GO:0034024	7693
GO:0015412	7692
GO:0008671	7657
GO:0019645	7657
GO:0004528	7654
GO:0030623	7651
GO:0036297	7640
GO:0047669	7636
GO:0019301	7632
GO:0043571	7626
GO:0004482	7575
GO:0007186	7572
GO:0055070	7529
GO:0016731	7526
GO:0004111	7495
GO:0046314	7495
GO:0051903	7495
GO:0005096	7461
GO:0008736	7458
GO:0006829	7449
GO:0000062	7436
GO:0043547	7433
GO:0004081	7423
GO:0016040	7404
GO:0016722	7402
GO:0102039	7397
GO:0000400	7362
GO:0003906	7349
GO:0008782	7295
GO:0016432	7283
GO:0070206	7264
GO:0046295	7260
GO:0102127	7245
GO:0018759	7234
GO:0102130	7233
GO:0018549	7229
GO:0046522	7220
GO:0008993	7213
GO:0008741	7204
GO:0030270	7199
GO:0052873	7189
GO:0005092	7167
GO:0022623	7151
GO:0000148	7124
GO:0003843	7124
GO:0004623	7124
GO:0006075	7124
GO:0000703	7117
GO:0009164	7111
GO:0004127	7054
GO:0001671	7043
GO:0070118	7013
GO:0004715	7011
GO:0006606	6981
GO:0008701	6967
GO:0046316	6964
GO:0009773	6963
GO:0044262	6917
GO:0010340	6905
GO:0006357	6874
GO:0008824	6857
GO:0018871	6857
GO:0102567	6842
GO:0102568	6842
GO:0009976	6840
GO:0008379	6831
GO:0009439	6827
GO:0052739	6823
GO:0052740	6823
GO:0018762	6794
GO:0018818	6768
GO:0008851	6734
GO:0030127	6727
GO:0018576	6708
GO:0042255	6701
GO:0009059	6692
GO:0030880	6674
GO:0047971	6668
GO:0032012	6654
GO:0070569	6651
GO:0070490	6645
GO:0009034	6643
GO:0097428	6627
GO:0018627	6618
GO:0005759	6614
GO:0050614	6601
GO:0015970	6589
GO:0019290	6569
GO:0008770	6546
GO:0047964	6528
GO:0019787	6527
GO:0102482	6512
GO:0036307	6449
GO:0018685	6444
GO:0052869	6444
GO:0015926	6430
GO:0045150	6424
GO:0015974	6415
GO:0043958	6396
GO:0043885	6374
GO:0046559	6324
GO:0071522	6322
GO:0008738	6310
GO:0030131	6301
GO:0051007	6288
GO:0016990	6277
GO:0016407	6249
GO:0009570	6238
GO:0050545	6238
GO:0031218	6221
GO:0071160	6220
GO:0042279	6218
GO:0071161	6171
GO:0047307	6155
GO:0030798	6144
GO:0033728	6136
GO:0051744	6136
GO:0019068	6112
GO:0047632	6106
GO:0050626	6103
GO:0006370	6094
GO:0004505	6085
GO:0004336	6080
GO:0006683	6080
GO:0044255	6079
GO:0046507	6069
GO:0019287	6025
GO:0019333	6018
GO:0009375	6017
GO:0016641	6015
GO:0042147	6013
GO:0005230	6002
GO:0006797	5945
GO:0019388	5939
GO:0006869	5934
GO:0003997	5928
GO:0033290	5923
GO:0001732	5914
GO:0016282	5911
GO:0047938	5910
GO:0015171	5907
GO:0018493	5893
GO:0102223	5892
GO:0005351	5846
GO:0004198	5845
GO:0030058	5843
GO:1990904	5841
GO:0015826	5834
GO:0032329	5834
GO:0005344	5822
GO:0103118	5819
GO:0006654	5818
GO:0102276	5813
GO:0008194	5794
GO:0030117	5780
GO:0046386	5779
GO:0015075	5776
GO:0004064	5757
GO:0004163	5704
GO:0045303	5666
GO:0030973	5657
GO:0032574	5639
GO:0035194	5639
GO:0047348	5614
GO:0030553	5581
GO:0004867	5577
GO:0003727	5569
GO:0051391	5569
GO:0004805	5567
GO:0050020	5567
GO:0008473	5556
GO:0051321	5546
GO:0047040	5539
GO:0030544	5521
GO:0007160	5493
GO:0031011	5488
GO:0003960	5454
GO:0043718	5451
GO:0008556	5429
GO:0004677	5419
GO:0006680	5413
GO:0018024	5397
GO:0032265	5391
GO:0015069	5387
GO:0004586	5381
GO:0009036	5380
GO:0052914	5377
GO:0003974	5361
GO:0004046	5344
GO:0006054	5323
GO:0010008	5317
GO:0009239	5300
GO:0009366	5299
GO:0044668	5294
GO:0050920	5283
GO:0009501	5265
GO:0052645	5262
GO:0008941	5260
GO:0009712	5239
GO:0000976	5238
GO:0070039	5219
GO:0005871	5215
GO:0009693	5213
GO:0052916	5199
GO:0044877	5169
GO:0032263	5166
GO:0008681	5130
GO:0008929	5127
GO:0003825	5120
GO:0004038	5110
GO:0019242	5108
GO:0006014	5084
GO:0048001	5060
GO:0048027	5058
GO:0052907	5016
GO:0045300	5003
GO:0047949	4999
GO:0008478	4989
GO:0009443	4980
GO:0009246	4977
GO:0008622	4973
GO:0140282	4944
GO:0033730	4932
GO:0047569	4928
GO:0052614	4889
GO:0005858	4845
GO:0047472	4833
GO:0015473	4821
GO:0060285	4812
GO:0009017	4804
GO:0000455	4784
GO:0004053	4780
GO:0030655	4773
GO:0032040	4769
GO:0007064	4743
GO:0031369	4733
GO:0006003	4718
GO:0005680	4716
GO:0032041	4713
GO:0015153	4705
GO:0036354	4694
GO:0052621	4691
GO:0006338	4687
GO:0045148	4670
GO:0044873	4666
GO:0008889	4664
GO:0007020	4661
GO:0019634	4660
GO:0005929	4658
GO:0042883	4647
GO:0010126	4644
GO:0005049	4643
GO:0035091	4643
GO:0007034	4615
GO:0016841	4610
GO:0006303	4599
GO:0047972	4591
GO:0046353	4579
GO:0030015	4576
GO:0019150	4572
GO:0008733	4561
GO:0046797	4559
GO:0015996	4533
GO:0019901	4527
GO:0051409	4519
GO:0046104	4518
GO:0010974	4508
GO:0004651	4506
GO:0017119	4503
GO:0051028	4493
